Date,Value
2010-01-04,1.7232
2010-01-05,1.7219
2010-01-06,1.7329
2010-01-07,1.7405
2010-01-08,1.7382
2010-01-11,1.7315
2010-01-12,1.7431
2010-01-13,1.7434
2010-01-14,1.764
2010-01-15,1.7703
2010-01-18,1.7713
2010-01-19,1.7739
2010-01-20,1.7846
2010-01-21,1.7895
2010-01-22,1.8179
2010-01-25,1.8186
2010-01-26,1.8359
2010-01-27,1.8505
2010-01-28,1.8552
2010-01-29,1.874
2010-02-01,1.8765
2010-02-02,1.8355
2010-02-03,1.8329
2010-02-04,1.8707
2010-02-05,1.8745
2010-02-08,1.8722
2010-02-09,1.8542
2010-02-10,1.8475
2010-02-11,1.8508
2010-02-12,1.8662
2010-02-17,1.8305
2010-02-18,1.8258
2010-02-19,1.8108
2010-02-22,1.8038
2010-02-23,1.8178
2010-02-24,1.8195
2010-02-25,1.8356
2010-02-26,1.8102
2010-03-01,1.7992
2010-03-02,1.7843
2010-03-03,1.7838
2010-03-04,1.788
2010-03-05,1.7816
2010-03-08,1.7818
2010-03-09,1.7891
2010-03-10,1.7708
2010-03-11,1.7685
2010-03-12,1.7629
2010-03-15,1.7636
2010-03-16,1.7658
2010-03-17,1.7632
2010-03-18,1.784
2010-03-19,1.7946
2010-03-22,1.8022
2010-03-23,1.7805
2010-03-24,1.7896
2010-03-25,1.8
2010-03-26,1.8223
2010-03-29,1.8056
2010-03-30,1.7944
2010-03-31,1.7802
2010-04-01,1.7693
2010-04-05,1.7565
2010-04-06,1.7597
2010-04-07,1.7654
2010-04-08,1.7798
2010-04-09,1.7722
2010-04-12,1.76
2010-04-13,1.7576
2010-04-14,1.7438
2010-04-15,1.7475
2010-04-16,1.755
2010-04-19,1.758
2010-04-20,1.7489
2010-04-22,1.7618
2010-04-23,1.7616
2010-04-26,1.7438
2010-04-27,1.7584
2010-04-28,1.755
2010-04-29,1.7313
2010-04-30,1.7298
2010-05-03,1.7307
2010-05-04,1.7549
2010-05-05,1.7854
2010-05-06,1.8345
2010-05-07,1.8335
2010-05-10,1.7825
2010-05-11,1.7835
2010-05-12,1.7715
2010-05-13,1.7729
2010-05-14,1.7959
2010-05-17,1.8037
2010-05-18,1.7913
2010-05-19,1.8358
2010-05-20,1.8669
2010-05-21,1.8702
2010-05-24,1.8514
2010-05-25,1.8803
2010-05-26,1.8453
2010-05-27,1.832
2010-05-28,1.8221
2010-05-31,1.8159
2010-06-01,1.8247
2010-06-02,1.8354
2010-06-04,1.8393
2010-06-07,1.8626
2010-06-08,1.865
2010-06-09,1.8415
2010-06-10,1.8177
2010-06-11,1.8117
2010-06-14,1.8022
2010-06-15,1.7963
2010-06-16,1.7885
2010-06-17,1.7809
2010-06-18,1.7753
2010-06-21,1.7655
2010-06-22,1.7672
2010-06-23,1.79
2010-06-24,1.7899
2010-06-25,1.7773
2010-06-28,1.7818
2010-06-29,1.8068
2010-06-30,1.8007
2010-07-01,1.7998
2010-07-02,1.7777
2010-07-05,1.7747
2010-07-06,1.7657
2010-07-07,1.7711
2010-07-08,1.7644
2010-07-09,1.7564
2010-07-12,1.7636
2010-07-13,1.7517
2010-07-14,1.7649
2010-07-15,1.7682
2010-07-16,1.7784
2010-07-19,1.7846
2010-07-20,1.7792
2010-07-21,1.7758
2010-07-22,1.7621
2010-07-23,1.7609
2010-07-26,1.7661
2010-07-27,1.765
2010-07-28,1.7642
2010-07-29,1.7635
2010-07-30,1.7564
2010-08-02,1.7481
2010-08-03,1.7586
2010-08-04,1.7555
2010-08-05,1.7527
2010-08-06,1.7558
2010-08-09,1.7529
2010-08-10,1.7568
2010-08-11,1.7655
2010-08-12,1.7723
2010-08-13,1.7708
2010-08-16,1.7631
2010-08-17,1.752
2010-08-18,1.7505
2010-08-19,1.7576
2010-08-20,1.7589
2010-08-23,1.7579
2010-08-24,1.7719
2010-08-25,1.766
2010-08-26,1.7588
2010-08-27,1.7536
2010-08-30,1.7583
2010-08-31,1.7552
2010-09-01,1.7433
2010-09-02,1.7359
2010-09-03,1.7273
2010-09-06,1.7251
2010-09-08,1.7223
2010-09-09,1.723
2010-09-10,1.7178
2010-09-13,1.7166
2010-09-14,1.7068
2010-09-15,1.7161
2010-09-16,1.7176
2010-09-17,1.7158
2010-09-20,1.7208
2010-09-21,1.7247
2010-09-22,1.7176
2010-09-23,1.7186
2010-09-24,1.7112
2010-09-27,1.7092
2010-09-28,1.7085
2010-09-29,1.7045
2010-09-30,1.6934
2010-10-01,1.6804
2010-10-04,1.6874
2010-10-05,1.68
2010-10-06,1.675
2010-10-07,1.6769
2010-10-08,1.6796
2010-10-11,1.664
2010-10-13,1.6546
2010-10-14,1.6588
2010-10-15,1.6596
2010-10-18,1.6678
2010-10-19,1.686
2010-10-20,1.6727
2010-10-21,1.6889
2010-10-22,1.6989
2010-10-25,1.7018
