Date,Open,High,Low,Close,Volume,Change Pct
2005-04-12,1.17,1.17,1.17,1.17,0,0.0
2005-04-13,1.17,1.17,1.17,1.17,0,0.0
2005-04-14,1.17,1.17,1.17,1.17,0,0.0
2005-04-15,1.17,1.17,1.17,1.17,0,0.0
2005-04-18,1.17,1.17,1.17,1.17,0,0.0
2005-04-19,1.19,1.19,1.19,1.19,0,1.71
2005-04-20,1.19,1.19,1.19,1.19,0,0.0
2005-04-21,1.19,1.19,1.19,1.19,0,0.0
2005-04-22,1.19,1.19,1.19,1.19,0,0.0
2005-04-25,1.19,1.19,1.19,1.19,0,0.0
2005-04-26,1.19,1.19,1.19,1.19,0,0.0
2005-04-27,1.16,1.16,1.16,1.16,0,-2.52
2005-04-28,1.15,1.15,1.15,1.15,0,-0.86
2005-04-29,1.15,1.15,1.15,1.15,0,0.0
2005-05-02,1.15,1.15,1.15,1.15,0,0.0
2005-05-03,1.18,1.18,1.18,1.18,0,2.61
2005-05-04,1.18,1.18,1.18,1.18,0,0.0
2005-05-05,1.18,1.18,1.18,1.18,0,0.0
2005-05-06,1.18,1.18,1.18,1.18,0,0.0
2005-05-09,1.18,1.18,1.18,1.18,0,0.0
2005-05-10,1.18,1.18,1.18,1.18,0,0.0
2005-05-12,1.16,1.16,1.16,1.16,0,-1.69
2005-05-13,1.16,1.16,1.16,1.16,0,0.0
2005-05-16,1.16,1.16,1.16,1.16,0,0.0
2005-05-17,1.17,1.17,1.17,1.17,0,0.86
2005-05-18,1.18,1.18,1.18,1.18,0,0.85
2005-05-19,1.19,1.19,1.19,1.19,0,0.85
2005-05-20,1.17,1.17,1.17,1.17,0,-1.68
2005-05-23,1.18,1.18,1.18,1.18,0,0.85
2005-05-24,1.18,1.18,1.18,1.18,0,0.0
2005-05-25,1.19,1.19,1.19,1.19,0,0.85
2005-05-26,1.19,1.19,1.19,1.19,0,0.0
2005-05-27,1.2,1.2,1.2,1.2,0,0.84
2005-05-31,1.2,1.2,1.2,1.2,0,0.0
2005-06-01,1.21,1.21,1.21,1.21,0,0.83
2005-06-02,1.225,1.225,1.225,1.225,0,1.24
2005-06-03,1.21,1.21,1.21,1.21,0,-1.22
2005-06-06,1.21,1.21,1.21,1.21,0,0.0
2005-06-07,1.23,1.23,1.23,1.23,0,1.65
2005-06-08,1.22,1.22,1.22,1.22,0,-0.81
2005-06-09,1.22,1.22,1.22,1.22,0,0.0
2005-06-10,1.23,1.23,1.23,1.23,0,0.82
2005-06-13,1.23,1.23,1.23,1.23,0,0.0
2005-06-14,1.23,1.23,1.23,1.23,0,0.0
2005-06-15,1.24,1.24,1.24,1.24,0,0.81
2005-06-16,1.29,1.29,1.29,1.29,0,4.03
2005-06-17,1.3,1.3,1.3,1.3,0,0.78
2005-06-20,1.36,1.36,1.36,1.36,0,4.62
2005-06-21,1.38,1.38,1.38,1.38,0,1.47
2005-06-22,1.38,1.38,1.38,1.38,0,0.0
2005-06-23,1.41,1.41,1.41,1.41,0,2.17
2005-06-24,1.41,1.41,1.41,1.41,0,0.0
2005-06-27,1.41,1.41,1.41,1.41,0,0.0
2005-06-28,1.44,1.44,1.44,1.44,0,2.13
2005-06-29,1.49,1.49,1.49,1.49,0,3.47
2005-06-30,1.47,1.47,1.47,1.47,0,-1.34
2005-07-01,1.49,1.49,1.49,1.49,0,1.36
2005-07-05,1.49,1.49,1.49,1.49,0,0.0
2005-07-06,1.49,1.49,1.49,1.49,0,0.0
2005-07-07,1.53,1.53,1.53,1.53,0,2.68
2005-07-08,1.59,1.59,1.59,1.59,0,3.92
2005-07-11,1.62,1.62,1.62,1.62,0,1.89
2005-07-12,1.65,1.65,1.65,1.65,0,1.85
2005-07-13,1.62,1.62,1.62,1.62,0,-1.82
2005-07-14,1.63,1.63,1.63,1.63,0,0.62
2005-07-15,1.62,1.62,1.62,1.62,0,-0.61
2005-07-18,1.7,1.7,1.7,1.7,0,4.94
2005-07-19,1.78,1.78,1.78,1.78,0,4.71
2005-07-20,1.74,1.74,1.74,1.74,0,-2.25
2005-07-21,1.75,1.75,1.75,1.75,0,0.57
2005-07-22,1.74,1.74,1.74,1.74,0,-0.57
2005-07-25,1.76,1.76,1.76,1.76,0,1.15
2005-07-26,1.74,1.74,1.74,1.74,0,-1.14
2005-07-27,1.75,1.75,1.75,1.75,0,0.57
2005-07-28,1.75,1.75,1.75,1.75,0,0.0
2005-07-29,1.77,1.77,1.77,1.77,0,1.14
2005-08-01,1.78,1.78,1.78,1.78,0,0.56
2005-08-02,1.75,1.75,1.75,1.75,0,-1.69
2005-08-03,1.83,1.83,1.83,1.83,0,4.57
2005-08-04,1.84,1.84,1.84,1.84,0,0.55
2005-08-05,1.82,1.82,1.82,1.82,0,-1.09
2005-08-08,1.83,1.83,1.83,1.83,0,0.55
2005-08-09,1.865,1.865,1.865,1.865,0,1.91
2005-08-10,1.85,1.85,1.85,1.85,0,-0.8
2005-08-11,1.895,1.895,1.895,1.895,0,2.43
2005-08-12,1.865,1.865,1.865,1.865,0,-1.58
2005-08-15,1.885,1.885,1.885,1.885,0,1.07
2005-08-16,1.915,1.915,1.915,1.915,0,1.59
2005-08-17,1.915,1.915,1.915,1.915,0,0.0
2005-08-18,1.95,1.95,1.95,1.95,0,1.83
2005-08-19,1.965,1.965,1.965,1.965,0,0.77
2005-08-22,1.985,1.985,1.985,1.985,0,1.02
2005-08-23,1.975,1.975,1.975,1.975,0,-0.5
2005-08-24,1.975,1.975,1.975,1.975,0,0.0
2005-08-25,1.974,1.974,1.974,1.974,0,-0.05
2005-08-26,1.98,1.98,1.98,1.98,0,0.3
2005-08-29,2.03,2.03,2.03,2.03,0,2.53
2005-08-30,2.15,2.15,2.15,2.15,0,5.91
2005-08-31,2.3,2.3,2.3,2.3,0,6.98
2005-09-01,2.7,2.7,2.7,2.7,0,17.39
2005-09-02,2.6,2.6,2.6,2.6,0,-3.7
2005-09-06,2.53,2.53,2.53,2.53,0,-2.69
2005-09-07,2.54,2.54,2.54,2.54,0,0.4
2005-09-08,2.515,2.515,2.515,2.515,0,-0.98
2005-09-09,2.58,2.58,2.58,2.58,0,2.58
2005-09-12,2.5,2.5,2.5,2.5,0,-3.1
2005-09-13,2.475,2.475,2.475,2.475,0,-1.0
2005-09-14,2.38,2.38,2.38,2.38,0,-3.84
2005-09-15,2.29,2.29,2.29,2.29,0,-3.78
2005-09-16,2.305,2.305,2.305,2.305,0,0.66
2005-09-19,2.31,2.31,2.31,2.31,0,0.22
2005-09-20,2.325,2.325,2.325,2.325,0,0.65
2005-09-21,2.355,2.355,2.355,2.355,0,1.29
2005-09-22,2.44,2.44,2.44,2.44,0,3.61
2005-09-23,2.45,2.45,2.45,2.45,0,0.41
2005-09-26,2.42,2.42,2.42,2.42,0,-1.22
2005-09-27,2.4,2.4,2.4,2.4,0,-0.83
2005-09-28,2.415,2.415,2.415,2.415,0,0.62
2005-09-29,2.415,2.415,2.415,2.415,0,0.0
2005-09-30,2.43,2.43,2.43,2.43,0,0.62
2005-10-03,2.42,2.42,2.42,2.42,0,-0.41
2005-10-04,2.5,2.5,2.5,2.5,0,3.31
2005-10-05,2.47,2.47,2.47,2.47,0,-1.2
2005-10-06,2.3,2.3,2.3,2.3,0,-6.88
2005-10-07,2.35,2.35,2.35,2.35,0,2.17
2005-10-10,2.24,2.24,2.24,2.24,0,-4.68
