Date,Open,High,Low,Close,Volume,Change Pct
2013-11-27,109.2,109.25,109.05,109.13,1151,-0.02
2013-11-28,109.14,109.24,109.01,109.06,493,-0.06
2013-12-02,110.6,110.88,110.21,110.86,2871,1.65
2013-12-03,110.85,111.2,110.7,110.98,2610,0.11
2013-12-04,110.95,111.7,110.85,111.57,3632,0.53
2013-12-05,111.67,111.95,111.45,111.88,2598,0.28
2013-12-06,111.95,112.99,111.7,112.92,2049,0.93
2013-12-09,112.8,113.97,112.7,113.93,1956,0.89
2013-12-10,113.93,114.14,112.55,112.8,3148,-0.99
2013-12-11,112.9,113.6,112.3,113.38,2210,0.51
2013-12-12,113.35,114.5,113.12,114.38,2341,0.88
2013-12-13,114.35,114.4,113.6,113.75,1323,-0.55
2013-12-16,113.75,114.67,113.66,114.57,1242,0.72
2013-12-17,114.61,114.9,114.12,114.9,1395,0.29
2013-12-18,114.9,115.2,114.65,114.83,1656,-0.06
2013-12-19,114.9,114.91,114.16,114.49,1455,-0.3
2013-12-20,114.45,114.45,114.01,114.04,406,-0.39
2013-12-23,114.03,114.3,114.03,114.17,520,0.11
2013-12-26,114.19,114.6,114.19,114.41,358,0.21
2013-12-27,114.5,114.58,114.35,114.43,219,0.02
2013-12-30,114.42,114.55,114.36,114.53,7,0.09
2014-01-02,112.41,113.1,112.41,112.91,1050,-1.41
2014-01-03,112.91,113.38,112.8,113.19,1223,0.25
2014-01-06,113.2,113.75,113.2,113.6,1497,0.36
2014-01-07,113.57,113.57,112.91,112.94,2005,-0.58
2014-01-08,112.92,113.35,112.7,112.8,1578,-0.12
2014-01-09,112.99,113.4,112.75,113.01,2144,0.19
2014-01-10,113.0,113.2,112.8,112.97,416,-0.04
2014-01-13,112.85,113.1,112.26,112.54,1696,-0.38
2014-01-14,112.5,113.3,112.45,112.89,3574,0.31
2014-01-15,112.82,112.83,112.26,112.42,1726,-0.42
2014-01-16,112.43,112.75,112.43,112.66,4615,0.21
2014-01-17,112.59,113.13,112.37,112.97,919,0.28
2014-01-20,112.97,112.97,112.4,112.79,673,-0.16
2014-01-21,112.75,113.4,112.11,112.6,1159,-0.17
2014-01-22,112.6,112.6,112.13,112.24,3649,-0.32
2014-01-23,112.3,113.15,112.3,113.01,3491,0.69
2014-01-24,113.02,113.4,113.0,113.37,1679,0.32
