Date,Open,High,Low,Close,Volume,Change Pct
2013-12-02,26.64,26.72,26.4,26.49,1922,-0.67
2013-12-03,26.51,26.63,26.3,26.48,898,-0.04
2013-12-04,26.47,26.84,26.4,26.66,2026,0.68
2013-12-05,26.67,26.87,26.52,26.65,1023,-0.04
2013-12-06,26.69,26.83,26.57,26.61,1425,-0.15
2013-12-09,26.62,26.84,26.57,26.71,879,0.38
2013-12-10,26.71,26.86,26.35,26.42,2325,-1.09
2013-12-11,26.44,26.58,26.2,26.32,1878,-0.38
2013-12-12,26.33,26.35,25.85,25.91,2602,-1.56
2013-12-13,25.9,25.99,25.71,25.87,853,-0.15
2013-12-16,25.93,26.08,25.77,26.02,862,0.58
2013-12-17,26.0,26.15,25.97,26.13,723,0.42
2013-12-18,26.09,26.45,26.09,26.4,1956,1.03
2013-12-19,26.41,26.95,26.28,26.87,1784,1.78
2013-12-20,26.91,27.22,26.91,27.08,1154,0.78
2013-12-23,27.0,27.32,26.91,27.11,403,0.11
2013-12-26,27.12,27.33,26.96,27.01,315,-0.37
2013-12-27,26.95,27.2,26.75,27.09,646,0.3
2013-12-30,27.03,27.45,26.81,27.26,557,0.63
2014-01-02,27.25,27.35,27.02,27.29,582,0.11
2014-01-03,27.3,27.75,27.3,27.71,668,1.54
2014-01-06,27.72,28.37,27.7,28.2,1225,1.77
2014-01-07,28.16,28.27,27.6,27.67,809,-1.88
2014-01-08,27.65,27.79,27.25,27.35,832,-1.16
2014-01-09,27.3,27.3,26.72,26.85,622,-1.83
2014-01-10,26.84,27.0,26.8,27.0,361,0.56
2014-01-13,26.99,27.15,26.91,27.13,355,0.48
2014-01-14,27.15,27.3,27.13,27.18,124,0.18
2014-01-15,27.19,27.33,27.19,27.32,691,0.52
2014-01-16,27.1,27.38,27.1,27.23,1563,-0.33
2014-01-17,27.29,27.34,26.88,26.97,1711,-0.95
2014-01-20,26.93,26.93,26.7,26.75,1197,-0.82
2014-01-21,26.76,26.79,26.3,26.31,2258,-1.64
