Date,Open,High,Low,Close,Volume,Change Pct
2009-10-14,65.92,67.61,65.78,67.14,0,1.85
2009-10-15,67.1,69.43,66.24,67.15,0,0.01
2009-10-16,67.12,68.31,66.69,68.26,0,1.65
2009-10-18,68.28,68.28,68.28,68.28,0,0.03
2009-10-19,68.28,68.93,66.36,66.43,0,-2.71
2009-10-20,66.43,67.88,66.43,67.5,0,1.61
2009-10-21,67.53,68.48,66.88,68.13,0,0.93
2009-10-22,67.96,68.6,67.33,68.45,0,0.47
2009-10-23,68.45,68.84,66.8,67.67,0,-1.14
2009-10-25,67.65,67.65,67.65,67.65,0,-0.03
2009-10-26,67.7,68.59,66.7,67.25,0,-0.59
2009-10-27,67.32,67.45,66.18,66.95,0,-0.45
2009-10-28,66.98,67.23,66.14,66.8,0,-0.22
2009-10-29,66.8,68.32,66.43,67.54,0,1.11
2009-10-30,67.44,67.91,66.66,67.18,0,-0.53
2009-11-01,67.2,67.2,67.2,67.2,0,0.03
2009-11-02,67.4,69.27,67.04,67.83,0,0.94
2009-11-03,67.73,68.21,67.73,68.21,0,0.56
2009-11-04,68.05,68.69,67.47,68.08,0,-0.19
2009-11-05,67.84,68.39,67.22,67.48,0,-0.88
2009-11-06,67.48,67.82,66.48,66.75,0,-1.08
2009-11-08,66.71,66.71,66.71,66.71,0,-0.06
2009-11-09,66.83,68.07,66.81,67.69,0,1.47
2009-11-10,67.64,69.22,67.26,69.03,0,1.98
2009-11-11,69.13,70.59,67.24,67.28,0,-2.54
2009-11-12,67.35,67.99,65.88,66.42,0,-1.28
2009-11-13,66.35,67.38,66.3,67.08,0,0.99
2009-11-15,67.04,67.04,67.04,67.04,0,-0.06
2009-11-16,67.04,72.72,67.04,72.51,0,8.16
2009-11-17,72.43,72.75,71.72,72.16,0,-0.48
2009-11-18,72.11,73.39,71.8,72.62,0,0.64
2009-11-19,72.61,73.2,72.05,73.13,0,0.7
2009-11-20,73.14,74.17,73.06,74.03,0,1.23
2009-11-22,74.02,74.02,74.02,74.02,0,-0.01
2009-11-23,74.19,75.67,74.15,74.5,0,0.65
2009-11-24,74.51,75.54,73.74,75.23,0,0.98
2009-11-25,75.29,75.74,74.64,75.21,0,-0.03
2009-11-27,75.21,75.21,72.89,73.79,0,-1.89
2009-11-29,73.8,73.8,73.8,73.8,0,0.01
2009-11-30,74.15,74.86,73.89,74.39,0,0.8
2009-12-01,74.47,74.96,73.46,73.56,0,-1.12
2009-12-02,73.49,74.07,73.08,73.9,0,0.46
2009-12-03,73.9,75.05,73.9,74.35,0,0.61
2009-12-04,74.43,75.02,73.66,73.8,0,-0.74
2009-12-06,73.81,73.81,73.81,73.81,0,0.01
2009-12-07,74.29,74.87,73.81,74.74,0,1.26
2009-12-08,74.67,75.07,74.13,74.26,0,-0.64
2009-12-09,74.27,74.48,73.31,74.47,0,0.28
