Date,Open,High,Low,Close,Volume,Change Pct
2010-05-18,730.0,730.0,730.0,727.5,2,-1.15
2010-05-19,725.0,725.0,725.0,727.5,3,0.0
2010-05-20,727.5,727.5,727.5,727.5,0,0.0
2010-05-21,725.0,725.0,725.0,725.0,0,-0.34
2010-05-24,727.5,727.5,727.5,727.5,0,0.34
2010-05-25,725.0,730.0,725.0,729.5,11,0.27
2010-05-26,730.0,730.0,730.0,727.5,3,-0.27
2010-05-27,740.0,740.0,740.0,740.0,3,1.72
2010-05-28,740.0,740.0,740.0,729.5,3,-1.42
2010-05-31,722.5,722.5,722.5,722.5,0,-0.96
2010-06-01,725.0,725.0,725.0,725.0,0,0.35
2010-06-02,729.0,729.0,729.0,729.0,0,0.55
2010-06-04,731.0,731.0,731.0,731.0,0,0.27
2010-06-07,735.0,735.0,735.0,731.0,9,0.0
2010-06-08,737.0,737.0,737.0,738.0,11,0.96
2010-06-09,741.5,741.5,741.5,741.5,0,0.47
2010-06-10,745.0,745.0,745.0,749.0,2,1.01
2010-06-11,748.0,748.0,748.0,748.0,0,-0.13
2010-06-14,758.0,760.0,758.0,761.0,2,1.74
2010-06-15,765.0,765.0,765.0,765.0,0,0.53
2010-06-16,770.0,770.0,770.0,773.5,2,1.11
2010-06-17,800.0,800.0,800.0,800.0,0,3.43
2010-06-18,790.0,790.0,780.0,790.0,4,-1.25
2010-06-21,792.0,792.0,792.0,792.0,0,0.25
2010-06-22,768.0,768.0,768.0,768.0,2,-3.03
2010-06-23,768.0,770.0,768.0,772.0,6,0.52
2010-06-24,774.5,774.5,774.5,774.5,0,0.32
2010-06-25,770.0,770.0,770.0,770.0,1,-0.58
2010-06-28,767.0,767.0,767.0,767.0,0,-0.39
2010-06-29,775.0,775.0,775.0,780.5,2,1.76
2010-06-30,786.0,786.0,786.0,786.0,0,0.7
2010-07-01,789.5,789.5,789.5,789.5,0,0.45
2010-07-02,788.5,788.5,788.5,788.5,0,-0.13
2010-07-05,788.5,788.5,788.5,788.5,0,0.0
2010-07-06,792.5,792.5,792.5,792.5,0,0.51
2010-07-07,795.0,819.0,795.0,819.0,3,3.34
2010-07-08,819.0,819.0,819.0,819.0,0,0.0
2010-07-12,830.0,830.0,830.0,830.0,0,1.34
2010-07-13,846.0,846.0,846.0,846.0,0,1.93
2010-07-14,860.0,860.0,860.0,860.0,0,1.65
2010-07-15,870.0,870.0,866.5,866.5,22,0.76
2010-07-16,870.0,870.0,865.0,865.0,11,-0.17
2010-07-19,865.0,865.0,865.0,867.5,5,0.29
2010-07-20,867.0,867.0,867.0,867.5,2,0.0
2010-07-21,867.5,867.5,867.5,867.5,5,0.0
2010-07-22,865.0,865.0,865.0,862.5,10,-0.58
2010-07-23,860.0,860.0,850.0,852.5,20,-1.16
2010-07-26,855.0,855.0,855.0,855.0,0,0.29
2010-07-27,850.0,859.0,850.0,857.5,30,0.29
2010-07-28,850.0,850.0,848.0,850.0,8,-0.87
2010-07-29,857.0,857.0,857.0,857.0,0,0.82
2010-07-30,857.0,857.0,857.0,858.5,50,0.18
2010-08-02,876.0,876.0,876.0,876.0,0,2.04
2010-08-03,895.0,905.0,895.0,905.0,6,3.31
2010-08-04,910.0,910.0,910.0,910.0,6,0.55
2010-08-05,910.0,910.0,910.0,910.0,0,0.0
2010-08-06,907.5,907.5,907.5,907.5,0,-0.27
2010-08-09,905.0,905.0,905.0,902.5,5,-0.55
2010-08-10,902.5,902.5,902.5,902.5,0,0.0
2010-08-11,900.0,900.0,890.0,895.0,36,-0.83
2010-08-12,895.0,895.0,895.0,895.0,0,0.0
2010-08-13,900.0,900.0,900.0,900.0,0,0.56
2010-08-16,900.0,900.0,900.0,900.0,0,0.0
2010-08-17,900.0,900.0,900.0,900.0,0,0.0
2010-08-18,900.0,900.0,900.0,900.0,0,0.0
2010-08-19,901.0,901.0,901.0,901.0,0,0.11
2010-08-20,895.0,895.0,895.0,895.0,0,-0.67
2010-08-23,890.0,890.0,890.0,890.0,0,-0.56
2010-08-24,885.0,885.0,885.0,885.0,0,-0.56
2010-08-25,880.0,880.0,880.0,880.0,0,-0.56
2010-08-26,880.0,880.0,880.0,880.0,0,0.0
2010-08-27,885.0,885.0,885.0,885.0,0,0.57
2010-08-30,880.0,880.0,880.0,880.0,0,-0.56
2010-08-31,883.0,883.0,883.0,882.0,137,0.23
2010-09-01,905.0,905.0,905.0,907.5,5,2.89
2010-09-02,910.0,910.0,910.0,908.0,1,0.06
2010-09-03,912.5,912.5,912.5,912.5,0,0.5
2010-09-06,912.5,912.5,912.5,912.5,0,0.0
2010-09-08,910.0,910.0,910.0,910.0,15,-0.27
2010-09-09,906.0,906.0,906.0,910.0,50,0.0
2010-09-10,912.0,912.0,912.0,912.0,0,0.22
2010-09-13,913.0,913.0,913.0,913.0,0,0.11
2010-09-14,915.0,919.0,915.0,915.0,31,0.22
2010-09-15,921.0,921.0,921.0,921.0,0,0.66
2010-09-16,922.0,925.0,922.0,925.0,20,0.43
2010-09-17,930.0,930.0,929.0,930.0,7,0.54
2010-09-20,940.0,940.0,940.0,940.0,0,1.08
2010-09-21,945.0,945.0,945.0,947.5,72,0.8
2010-09-22,957.5,957.5,957.5,957.5,0,1.06
2010-09-23,957.5,957.5,957.5,957.5,0,0.0
2010-09-24,955.0,970.0,955.0,970.0,136,1.31
2010-09-27,970.0,970.0,970.0,972.5,70,0.26
2010-09-28,975.0,993.0,973.0,992.0,365,2.01
2010-09-29,1000.0,1000.0,1000.0,998.5,15,0.66
2010-09-30,1000.5,1000.5,1000.5,1000.5,0,0.2
2010-10-01,1010.0,1010.0,1005.0,1005.0,20,0.45
2010-10-04,1005.0,1006.0,1005.0,999.5,17,-0.55
2010-10-05,1007.5,1010.0,1007.5,1010.0,60,1.05
2010-10-06,1019.0,1020.0,1015.0,1020.0,66,0.99
2010-10-07,1016.0,1020.0,1016.0,1020.0,8,0.0
2010-10-08,1025.0,1025.0,1025.0,1025.5,13,0.54
2010-10-11,1024.0,1024.0,1024.0,1024.0,2,-0.15
2010-10-13,1023.5,1023.5,1023.5,1023.5,0,-0.05
2010-10-14,1025.0,1030.0,1025.0,1026.0,125,0.24
2010-10-15,1023.0,1024.0,1014.0,1016.0,219,-0.97
2010-10-18,1017.5,1017.5,1017.5,1017.5,0,0.15
2010-10-19,1022.0,1022.0,1021.0,1021.0,3,0.34
2010-10-20,1025.0,1030.0,1025.0,1030.0,63,0.88
2010-10-21,1020.0,1025.0,1020.0,1025.0,58,-0.49
2010-10-22,1026.0,1026.0,1026.0,1026.0,100,0.1
2010-10-25,1027.0,1027.0,1026.0,1027.0,124,0.1
2010-10-26,1023.0,1023.0,1023.0,1023.5,3,-0.34
2010-10-27,1023.0,1023.0,1022.0,1021.0,62,-0.24
2010-10-28,1023.5,1023.5,1023.5,1023.5,0,0.24
2010-10-29,1023.5,1023.5,1023.5,1023.5,0,0.0
2010-11-01,1044.5,1044.5,1044.5,1044.5,0,2.05
