Date,Open,High,Low,Close,Volume,Change Pct
2000-01-03,352.0,354.8,350.2,350.3,236,0.37
2000-01-04,351.5,358.0,349.0,357.9,424,2.17
2000-01-05,359.0,359.8,354.7,354.8,326,-0.87
2000-01-06,355.5,355.6,351.2,352.4,226,-0.68
2000-01-07,354.0,357.0,352.5,354.5,204,0.6
2000-01-10,354.0,357.3,353.2,356.0,259,0.42
2000-01-11,355.5,357.3,353.0,355.0,310,-0.28
2000-01-12,354.0,354.0,347.8,347.8,514,-2.03
2000-01-13,347.8,352.0,347.1,349.5,324,0.49
2000-01-14,348.0,352.0,329.5,333.5,217,-4.58
2000-01-18,336.7,338.2,333.5,333.8,751,0.09
2000-01-19,332.0,336.3,329.7,334.8,998,0.3
2000-01-20,333.5,335.0,331.4,331.6,561,-0.96
2000-01-21,328.0,331.0,327.0,330.5,787,-0.33
2000-01-24,328.7,333.5,327.6,331.5,441,0.3
2000-01-25,330.0,331.5,327.0,328.3,622,-0.97
2000-01-26,325.5,332.5,323.2,332.0,1080,1.13
2000-01-27,342.0,342.0,342.0,342.0,344,3.01
2000-01-28,349.0,349.8,341.3,345.6,1033,1.05
2000-01-31,347.0,349.0,345.5,346.6,646,0.29
2000-02-01,345.5,345.5,341.7,342.9,584,-1.07
2000-02-02,341.0,347.5,340.1,347.2,712,1.25
2000-02-03,348.5,357.2,348.0,357.2,1239,2.88
2000-02-04,357.9,358.7,352.2,353.2,650,-1.12
2000-02-07,354.5,354.5,350.0,350.6,261,-0.74
2000-02-08,349.0,355.0,346.5,353.7,987,0.88
2000-02-09,353.0,355.6,349.1,351.3,762,-0.68
2000-02-10,350.5,353.0,347.2,351.5,494,0.06
2000-02-11,350.0,360.5,349.7,356.4,892,1.39
2000-02-14,355.0,357.0,350.6,351.8,572,-1.29
2000-02-15,349.0,349.5,344.5,345.2,724,-1.88
2000-02-16,348.0,350.1,338.1,340.3,938,-1.42
2000-02-17,341.0,342.7,338.2,339.3,422,-0.29
2000-02-18,338.5,342.0,338.5,340.0,250,0.21
2000-02-22,337.5,338.5,332.7,332.8,725,-2.12
2000-02-23,332.0,334.7,330.9,332.2,666,-0.18
2000-02-24,333.0,340.0,333.0,335.0,600,0.84
2000-02-25,334.0,336.5,332.6,334.5,450,-0.15
2000-02-28,336.0,338.8,334.4,336.0,480,0.45
2000-02-29,337.5,339.3,329.5,330.2,694,-1.73
2000-03-01,335.0,342.8,333.6,340.2,617,3.03
2000-03-02,341.5,342.7,337.7,337.8,194,-0.71
2000-03-03,338.0,342.2,336.6,337.8,320,0.0
2000-03-06,339.5,339.5,333.9,335.0,258,-0.83
2000-03-07,334.0,336.0,331.3,331.3,238,-1.1
2000-03-08,330.7,331.0,326.5,328.5,248,-0.85
2000-03-09,328.8,332.3,325.1,326.2,360,-0.7
2000-03-10,327.0,328.9,323.2,328.5,222,0.71
2000-03-13,327.1,328.8,325.3,327.3,156,-0.37
2000-03-14,328.1,330.7,327.2,329.8,227,0.76
2000-03-15,330.0,330.3,322.3,326.1,369,-1.12
2000-03-16,337.7,337.7,332.5,335.9,555,3.01
2000-03-17,335.8,338.3,334.4,334.5,447,-0.42
2000-03-20,335.0,336.3,333.3,334.6,275,0.03
2000-03-21,335.5,340.0,334.5,337.3,655,0.81
2000-03-22,336.8,337.7,332.6,332.8,594,-1.33
2000-03-23,331.0,331.3,324.3,324.9,1497,-2.37
2000-03-24,321.0,325.8,321.0,324.0,968,-0.28
2000-03-27,323.5,325.8,322.1,325.0,454,0.31
2000-03-28,324.0,324.0,317.7,317.8,772,-2.22
2000-03-29,318.1,323.6,317.0,321.2,689,1.07
2000-03-30,321.2,322.4,318.5,321.0,661,-0.06
2000-03-31,322.6,325.0,320.7,324.7,464,1.15
2000-04-03,326.0,328.0,325.7,326.5,287,0.55
2000-04-04,324.7,325.0,316.5,319.5,805,-2.14
2000-04-05,319.0,329.5,317.3,326.5,922,2.19
2000-04-06,327.5,329.4,325.2,325.6,490,-0.28
2000-04-07,325.0,327.9,323.6,323.8,411,-0.55
2000-04-10,322.9,322.9,317.4,319.2,562,-1.42
2000-04-11,319.0,319.2,314.1,315.7,652,-1.1
2000-04-12,316.5,318.2,310.8,317.2,769,0.48
2000-04-13,312.0,314.0,308.0,308.5,640,-2.74
2000-04-14,308.0,311.8,307.5,309.6,416,0.36
2000-04-17,311.5,313.0,308.9,309.1,485,-0.16
2000-04-18,306.0,306.6,301.2,304.5,565,-1.49
2000-04-19,307.0,311.0,302.3,302.7,678,-0.59
2000-04-20,303.9,304.5,298.1,298.3,597,-1.45
2000-04-24,297.1,299.3,293.6,293.7,655,-1.54
2000-04-25,294.1,296.4,292.2,295.7,442,0.68
2000-04-26,299.2,303.5,297.8,302.8,541,2.4
2000-04-27,303.7,304.5,297.8,297.9,527,-1.62
2000-04-28,299.0,301.0,295.8,299.5,340,0.54
2000-05-01,301.0,302.6,299.6,301.8,246,0.77
2000-05-02,301.0,303.0,295.3,295.9,384,-1.95
2000-05-03,294.5,294.5,286.7,289.5,672,-2.16
2000-05-04,292.0,292.0,284.0,285.6,364,-1.35
2000-05-05,286.2,289.8,285.3,285.9,209,0.11
2000-05-08,285.9,286.0,279.5,279.6,345,-2.2
2000-05-09,281.0,288.8,281.0,287.8,450,2.93
2000-05-10,289.0,293.6,286.1,289.8,350,0.69
2000-05-11,291.1,292.2,286.0,286.0,293,-1.31
2000-05-12,288.0,288.0,284.0,285.4,366,-0.21
2000-05-15,282.9,284.0,272.6,280.5,249,-1.72
2000-05-16,286.5,292.7,286.5,291.9,747,4.06
2000-05-17,286.0,287.5,281.9,282.1,883,-3.36
2000-05-18,283.8,285.9,281.6,282.6,583,0.18
2000-05-19,281.5,281.5,279.1,279.2,395,-1.2
2000-05-22,279.4,280.5,276.8,276.9,375,-0.82
2000-05-23,286.9,286.9,281.7,284.5,718,2.74
2000-05-24,285.5,292.0,285.5,287.8,691,1.16
2000-05-25,289.7,295.1,288.6,293.6,804,2.02
2000-05-26,296.0,296.0,291.8,292.7,348,-0.31
2000-05-30,295.0,299.8,291.5,298.0,710,1.81
2000-05-31,298.5,298.5,294.0,297.0,451,-0.34
2000-06-01,295.9,299.6,293.2,294.6,378,-0.81
2000-06-02,293.9,297.9,293.8,297.7,314,1.05
2000-06-05,296.8,302.7,296.1,298.2,736,0.17
2000-06-06,296.5,296.5,288.2,288.2,973,-3.35
2000-06-07,287.3,289.2,284.3,286.9,569,-0.45
2000-06-08,292.0,296.9,289.0,296.9,500,3.49
2000-06-09,301.0,304.7,297.3,304.6,707,2.59
2000-06-12,308.0,308.3,301.8,305.2,626,0.2
2000-06-13,305.2,307.0,301.3,304.3,384,-0.29
2000-06-14,302.0,302.0,294.3,294.3,610,-3.29
2000-06-15,294.0,295.0,291.0,291.7,432,-0.88
2000-06-16,290.0,297.7,287.8,295.4,620,1.27
2000-06-19,297.0,298.5,292.1,292.2,310,-1.08
2000-06-20,286.0,286.5,282.2,282.4,673,-3.35
2000-06-21,278.0,281.0,274.7,276.3,746,-2.16
2000-06-22,280.0,281.9,275.3,276.3,341,0.0
2000-06-23,273.8,275.7,271.5,271.8,260,-1.63
2000-06-26,273.0,274.5,271.2,272.2,195,0.15
2000-06-27,271.0,271.5,268.0,268.4,348,-1.4
2000-06-28,278.4,278.4,278.4,278.4,25,3.73
2000-06-29,288.4,288.4,279.9,279.9,570,0.54
2000-06-30,282.7,283.0,274.6,275.5,475,-1.57
2000-07-03,263.0,267.0,256.5,262.0,452,-4.9
2000-07-05,267.0,267.0,254.2,262.5,532,0.19
2000-07-06,264.0,264.0,258.7,263.0,167,0.19
2000-07-07,258.0,259.9,254.6,256.6,521,-2.43
2000-07-10,257.5,259.7,254.7,257.8,245,0.47
2000-07-11,258.0,262.0,254.1,254.2,255,-1.4
2000-07-12,255.0,255.1,251.5,251.8,244,-0.94
2000-07-13,251.0,251.0,242.8,243.0,334,-3.49
2000-07-14,243.0,244.0,235.0,239.8,182,-1.32
2000-07-17,260.0,260.5,251.5,251.5,484,4.88
2000-07-18,248.0,254.0,247.5,253.3,446,0.72
2000-07-19,250.5,254.3,248.5,253.7,362,0.16
2000-07-20,254.0,256.5,243.7,243.7,861,-3.94
2000-07-21,241.5,253.7,240.2,249.4,973,2.34
2000-07-24,248.5,254.6,246.5,252.0,449,1.04
2000-07-25,252.8,255.0,249.0,253.6,409,0.63
2000-07-26,253.6,259.8,251.6,259.5,581,2.33
2000-07-27,261.0,262.4,256.4,256.7,461,-1.08
2000-07-28,259.0,259.0,249.5,253.2,516,-1.36
2000-07-31,250.0,253.9,249.4,250.0,244,-1.26
2000-08-01,248.1,249.7,246.0,246.4,327,-1.44
2000-08-02,246.0,247.9,242.0,243.9,418,-1.01
2000-08-03,243.0,245.9,239.5,240.3,499,-1.48
2000-08-04,241.0,242.9,237.2,239.4,443,-0.37
2000-08-07,238.9,240.1,235.5,236.2,249,-1.34
2000-08-08,235.2,238.5,234.5,237.5,314,0.55
2000-08-09,238.7,243.5,237.6,243.2,687,2.4
2000-08-10,241.5,248.0,241.3,247.7,425,1.85
2000-08-11,249.8,249.8,237.7,237.7,648,-4.04
2000-08-14,237.0,239.0,234.4,236.4,415,-0.55
2000-08-15,238.0,238.0,235.8,236.6,250,0.08
2000-08-16,234.5,238.7,233.0,236.5,336,-0.04
2000-08-17,237.0,239.0,229.9,231.3,453,-2.2
2000-08-18,233.0,233.3,230.5,231.5,284,0.09
2000-08-21,231.3,233.7,229.7,232.6,245,0.48
2000-08-22,233.5,235.5,227.3,228.2,480,-1.89
2000-08-23,228.0,229.9,226.2,227.3,393,-0.39
2000-08-24,228.3,229.7,226.7,229.0,242,0.75
2000-08-25,229.0,229.2,223.0,223.8,458,-2.27
2000-08-28,224.5,225.4,221.1,222.0,290,-0.8
2000-08-29,220.0,223.2,213.2,215.3,530,-3.02
2000-08-30,216.0,219.5,214.0,219.2,432,1.81
2000-08-31,220.0,224.6,218.1,221.8,359,1.19
2000-09-01,222.0,223.2,215.4,216.5,258,-2.39
2000-09-05,218.5,221.5,217.1,217.6,411,0.51
2000-09-06,218.1,219.7,213.6,217.5,459,-0.05
2000-09-07,216.6,219.4,212.1,216.5,278,-0.46
2000-09-08,219.5,221.4,217.2,219.3,218,1.29
2000-09-11,220.4,223.0,218.2,222.1,215,1.28
2000-09-12,221.0,223.7,219.5,222.7,173,0.27
2000-09-13,224.0,234.5,223.7,231.8,392,4.09
2000-09-14,233.9,236.0,227.1,229.0,313,-1.21
2000-09-15,232.0,237.6,229.1,237.0,0,3.49
2000-09-18,249.9,250.3,243.3,245.8,601,3.71
2000-09-19,244.5,244.5,240.6,241.4,627,-1.79
2000-09-20,238.5,240.3,237.0,238.3,640,-1.28
