Date,Open,High,Low,Close,Volume,Change Pct
2000-01-03,69.65,69.9,69.4,69.7,4890,0.14
2000-01-04,69.38,69.38,68.8,69.08,9485,-0.89
2000-01-05,69.0,69.22,68.72,68.97,6252,-0.16
2000-01-06,68.85,70.25,68.85,70.08,12978,1.61
2000-01-07,70.38,71.17,70.33,70.88,13515,1.14
2000-01-10,71.05,71.08,70.75,70.78,7165,-0.14
2000-01-11,70.95,71.47,70.7,70.88,11609,0.14
2000-01-12,70.88,71.08,70.4,70.42,10345,-0.65
2000-01-13,70.35,70.78,70.03,70.6,12454,0.26
2000-01-14,70.55,70.85,70.33,70.83,4994,0.33
2000-01-18,70.7,70.85,70.28,70.7,6502,-0.18
2000-01-19,70.62,70.83,69.88,70.15,8685,-0.78
2000-01-20,69.9,70.1,69.6,69.8,7024,-0.5
2000-01-21,69.75,69.92,69.58,69.83,6246,0.04
2000-01-24,69.7,70.1,69.65,69.83,3675,0.0
2000-01-25,70.05,70.05,69.58,69.83,6203,0.0
2000-01-26,69.7,70.05,69.47,70.0,6704,0.24
2000-01-27,69.85,70.12,69.25,69.53,9079,-0.67
2000-01-28,69.5,69.8,69.28,69.72,3683,0.27
2000-01-31,69.9,70.17,69.53,70.15,5765,0.62
2000-02-01,70.17,70.75,70.15,70.7,7442,0.78
2000-02-02,70.58,70.83,69.92,70.28,9114,-0.59
2000-02-03,70.3,70.75,70.12,70.72,6932,0.63
2000-02-04,70.9,71.05,70.65,70.95,5620,0.33
2000-02-07,70.95,71.4,70.8,71.33,6841,0.54
2000-02-08,71.1,71.2,70.7,70.83,4393,-0.7
2000-02-09,70.8,70.92,70.45,70.62,3969,-0.3
2000-02-10,70.55,70.6,70.15,70.28,3572,-0.48
2000-02-11,70.2,70.35,69.8,69.92,3474,-0.51
2000-02-14,69.85,69.95,69.33,69.45,2813,-0.67
2000-02-15,69.55,69.85,69.35,69.47,2151,0.03
2000-02-16,69.55,69.65,69.2,69.42,1353,-0.07
2000-02-17,69.38,69.8,69.17,69.53,1631,0.16
2000-02-18,69.5,69.7,69.35,69.65,1012,0.17
2000-02-22,69.3,69.4,68.8,68.83,3350,-1.18
2000-02-23,68.95,69.12,68.8,68.95,2106,0.17
2000-02-24,69.2,69.9,68.95,69.88,2304,1.35
2000-02-25,70.1,70.7,70.08,70.53,2281,0.93
2000-02-28,70.65,70.97,70.4,70.88,1655,0.5
2000-02-29,70.8,70.83,69.5,69.75,2010,-1.59
2000-03-01,71.12,72.03,71.12,71.97,12184,3.18
2000-03-02,72.45,72.83,72.25,72.53,11961,0.78
2000-03-03,72.6,73.0,72.35,72.97,7883,0.61
2000-03-06,72.95,73.08,72.53,72.85,7414,-0.16
2000-03-07,72.83,72.85,72.28,72.45,7678,-0.55
2000-03-08,72.65,73.3,72.28,72.33,18606,-0.17
2000-03-09,72.5,72.75,72.2,72.55,7320,0.3
2000-03-10,72.72,72.83,72.45,72.6,6668,0.07
2000-03-13,72.75,72.8,72.22,72.45,6534,-0.21
2000-03-14,72.6,72.7,72.3,72.47,5513,0.03
2000-03-15,72.4,72.85,72.38,72.78,5930,0.43
2000-03-16,72.8,72.88,72.1,72.12,7821,-0.91
2000-03-17,72.05,72.05,71.75,71.92,5889,-0.28
2000-03-20,72.4,72.67,72.1,72.2,5958,0.39
2000-03-21,72.33,72.58,72.22,72.45,3965,0.35
2000-03-22,72.8,73.4,72.75,73.12,11284,0.92
2000-03-23,73.12,73.25,72.83,73.03,5621,-0.12
2000-03-24,73.0,73.15,72.9,73.03,3508,0.0
2000-03-27,73.1,73.25,72.85,73.05,4672,0.03
2000-03-28,73.2,73.35,73.08,73.17,4023,0.16
2000-03-29,72.85,72.85,71.67,71.67,13480,-2.05
2000-03-30,71.83,72.0,71.35,71.85,9024,0.25
2000-03-31,71.95,72.22,71.88,72.17,5014,0.45
2000-04-03,72.2,72.22,71.85,72.12,2419,-0.07
2000-04-04,72.15,72.17,71.25,71.7,6231,-0.58
2000-04-05,71.6,72.2,71.58,72.05,5663,0.49
2000-04-06,72.2,72.3,71.85,71.88,5307,-0.24
2000-04-07,71.85,72.3,71.72,72.08,6076,0.28
2000-04-10,72.25,72.4,72.05,72.35,4059,0.37
2000-04-11,72.6,73.08,72.55,72.85,4481,0.69
2000-04-12,73.05,73.3,72.88,73.17,5299,0.44
2000-04-13,73.45,73.7,73.28,73.45,6253,0.38
2000-04-14,73.47,73.75,73.25,73.67,2443,0.3
2000-04-17,73.58,73.7,73.28,73.47,2097,-0.27
2000-04-18,73.75,73.95,73.6,73.92,3085,0.61
2000-04-19,74.1,74.38,74.05,74.15,4891,0.31
2000-04-20,74.1,74.1,73.45,73.53,3793,-0.84
2000-04-24,73.75,73.95,73.62,73.92,1520,0.53
2000-04-25,74.0,74.45,73.95,74.17,2599,0.34
2000-04-26,74.28,74.4,73.9,74.33,1783,0.22
2000-04-27,74.2,74.2,73.92,73.97,1653,-0.48
2000-04-28,73.92,74.4,73.7,74.25,2071,0.38
2000-05-01,69.3,69.3,68.7,68.72,6978,-7.45
2000-05-02,68.85,69.05,68.72,68.9,4594,0.26
2000-05-03,68.8,69.22,68.5,68.9,8520,0.0
2000-05-04,69.0,69.17,68.65,69.05,6203,0.22
2000-05-05,69.05,69.15,68.6,68.62,5580,-0.62
2000-05-08,68.45,68.8,68.42,68.58,9682,-0.06
2000-05-09,68.85,69.12,68.7,68.7,6863,0.17
2000-05-10,68.95,69.1,68.4,68.42,8200,-0.41
2000-05-11,68.42,68.42,68.0,68.25,12696,-0.25
2000-05-12,68.38,68.5,67.75,67.92,8779,-0.48
2000-05-15,68.15,68.22,67.85,67.92,6654,0.0
2000-05-16,68.05,68.33,67.9,68.12,5799,0.29
2000-05-17,68.4,68.58,68.12,68.2,6733,0.12
2000-05-18,68.05,68.38,68.03,68.2,4507,0.0
2000-05-19,68.2,68.35,68.05,68.12,4256,-0.12
2000-05-22,67.95,68.15,67.78,67.83,4077,-0.43
2000-05-23,67.85,68.3,67.83,68.25,3442,0.62
2000-05-24,68.12,68.35,67.5,67.67,7844,-0.85
2000-05-25,67.55,67.65,67.25,67.42,6646,-0.37
2000-05-26,67.65,67.65,66.85,66.92,4782,-0.74
2000-05-30,67.22,67.4,66.92,67.08,7660,0.24
2000-05-31,67.17,67.9,67.15,67.78,7045,1.04
2000-06-01,67.8,68.28,67.75,68.12,7659,0.5
2000-06-02,68.22,68.55,68.08,68.42,6824,0.44
2000-06-05,68.55,68.92,68.45,68.83,4570,0.6
2000-06-06,68.97,69.0,68.55,68.8,3861,-0.04
2000-06-07,68.7,68.92,68.62,68.83,2703,0.04
2000-06-08,68.75,68.92,68.55,68.62,2203,-0.31
2000-06-09,68.8,69.08,68.75,68.97,2137,0.51
2000-06-12,69.12,69.2,68.9,69.17,3176,0.29
2000-06-13,69.17,69.33,69.05,69.08,2349,-0.13
2000-06-14,69.2,69.2,68.83,69.08,1574,0.0
2000-06-15,69.1,69.15,68.75,68.78,1822,-0.43
2000-06-16,68.7,68.88,68.55,68.6,1867,-0.26
2000-06-19,68.4,68.55,68.3,68.42,1807,-0.26
2000-06-20,68.38,68.78,68.38,68.67,1172,0.37
2000-06-21,68.6,68.67,68.4,68.5,1712,-0.25
2000-06-22,68.5,68.6,68.3,68.42,1442,-0.12
2000-06-23,68.5,68.5,68.2,68.22,1294,-0.29
2000-06-26,68.22,68.38,68.2,68.33,783,0.16
2000-06-27,68.35,68.55,68.3,68.33,826,0.0
2000-06-28,68.25,68.3,68.03,68.1,1294,-0.34
2000-06-29,68.1,68.17,68.03,68.08,876,-0.03
2000-06-30,68.15,68.5,66.58,67.47,1303,-0.9
2000-07-03,66.8,67.05,66.62,66.83,2378,-0.95
2000-07-05,66.92,67.75,66.92,67.7,6247,1.3
2000-07-06,67.7,67.88,67.42,67.53,5411,-0.25
2000-07-07,67.45,67.47,67.05,67.4,4121,-0.19
2000-07-10,67.45,67.65,67.28,67.38,4251,-0.03
2000-07-11,67.35,67.38,67.03,67.17,5527,-0.31
