Date,Open,High,Low,Close,Volume,Change Pct
2000-01-03,54.95,56.3,54.95,55.98,4645,2.72
2000-01-04,55.7,55.85,55.02,55.62,3851,-0.64
2000-01-05,55.25,55.9,55.0,55.08,3562,-0.97
2000-01-06,54.85,55.55,54.55,55.17,3588,0.16
2000-01-07,56.0,56.75,55.55,55.62,5251,0.82
2000-01-10,56.2,56.6,55.6,55.65,5486,0.05
2000-01-11,55.9,56.38,55.7,56.02,4011,0.66
2000-01-12,55.8,56.25,54.7,54.8,5134,-2.18
2000-01-13,55.0,55.58,54.75,54.83,4119,0.05
2000-01-14,55.0,56.2,54.45,56.15,5237,2.41
2000-01-18,55.4,55.75,55.05,55.55,3664,-1.07
2000-01-19,55.95,56.62,55.52,56.0,5032,0.81
2000-01-20,56.15,56.38,55.77,56.23,3061,0.41
2000-01-21,56.3,57.2,55.9,57.08,4129,1.51
2000-01-24,56.85,56.9,56.33,56.52,2480,-0.98
2000-01-25,56.85,56.95,56.02,56.1,4080,-0.74
2000-01-26,56.2,56.65,55.8,56.23,3679,0.23
2000-01-27,56.6,56.85,56.02,56.1,3839,-0.23
2000-01-28,56.3,57.08,56.2,57.0,3458,1.6
2000-01-31,56.8,57.05,56.52,56.75,2833,-0.44
2000-02-01,56.55,56.88,56.45,56.58,4581,-0.3
2000-02-02,56.7,57.3,56.5,56.88,3305,0.53
2000-02-03,56.8,57.58,56.5,57.52,3746,1.13
2000-02-04,57.4,57.8,57.15,57.75,3144,0.4
2000-02-07,57.6,57.75,57.3,57.48,2285,-0.47
2000-02-08,57.4,57.4,56.58,56.62,2346,-1.5
2000-02-09,56.2,56.35,55.58,55.62,2661,-1.77
2000-02-10,55.7,55.85,55.15,55.3,1804,-0.58
2000-02-11,55.55,55.55,55.1,55.2,1031,-0.18
2000-02-14,55.3,55.3,54.95,54.98,1422,-0.4
2000-02-16,56.6,57.73,56.6,57.35,5266,4.31
2000-02-17,57.65,57.85,56.95,57.05,3329,-0.52
