Date,Open,High,Low,Close,Volume,Change Pct
2014-06-16,1840.25,1840.25,1840.25,1840.25,19294,0.34
2014-06-17,1852.0,1852.0,1852.0,1852.0,45548,0.64
2014-06-18,1874.5,1874.5,1874.5,1874.5,26124,1.21
2014-06-19,1890.5,1890.5,1890.5,1890.5,26663,0.85
2014-06-20,1888.5,1888.5,1888.5,1888.5,18514,-0.11
2014-06-23,1892.5,1892.5,1892.5,1892.5,22219,0.21
2014-06-24,1901.0,1901.0,1901.0,1901.0,37674,0.45
2014-06-25,1903.5,1903.5,1903.5,1903.5,31266,0.13
2014-06-26,1898.0,1898.0,1898.0,1898.0,20202,-0.29
2014-06-27,1885.0,1885.0,1885.0,1885.0,20933,-0.68
2014-06-30,1890.75,1890.75,1890.75,1890.75,21541,0.31
2014-07-01,1884.5,1884.5,1884.5,1884.5,39694,-0.33
2014-07-02,1926.0,1926.0,1926.0,1926.0,45556,2.2
2014-07-03,1936.0,1936.0,1936.0,1936.0,30871,0.52
2014-07-04,1921.5,1921.5,1921.5,1921.5,12314,-0.75
2014-07-07,1919.5,1919.5,1919.5,1919.5,24446,-0.1
2014-07-08,1938.0,1938.0,1938.0,1938.0,51280,0.96
2014-07-09,1937.75,1937.75,1937.75,1937.75,27039,-0.01
2014-07-10,1922.25,1922.25,1922.25,1922.25,36711,-0.8
2014-07-11,1939.0,1939.0,1939.0,1939.0,32129,0.87
2014-07-14,1938.5,1938.5,1938.5,1938.5,40899,-0.03
2014-07-15,1960.0,1960.0,1960.0,1960.0,42595,1.11
2014-07-16,1970.5,1970.5,1970.5,1970.5,25151,0.54
2014-07-17,1990.0,1990.0,1990.0,1990.0,9674,0.99
2014-07-18,1982.75,1982.75,1982.75,1982.75,14561,-0.36
2014-07-21,2021.0,2021.0,2021.0,2021.0,7581,1.93
2014-07-22,2044.5,2044.5,2044.5,2044.5,8859,1.16
2014-07-23,2017.25,2017.25,2017.25,2017.25,11748,-1.33
2014-07-24,2027.0,2027.0,2027.0,2027.0,12661,0.48
2014-07-25,1998.0,1998.0,1998.0,1998.0,9072,-1.43
2014-07-28,2015.0,2015.0,2015.0,2015.0,9865,0.85
2014-07-29,1981.25,1981.25,1981.25,1981.25,9277,-1.67
2014-07-30,2021.0,2021.0,2021.0,2021.0,11086,2.01
2014-07-31,1988.5,1988.5,1988.5,1988.5,23414,-1.61
2014-08-01,1973.5,1973.5,1973.5,1973.5,17334,-0.75
2014-08-04,2025.0,2025.0,2025.0,2025.0,38842,2.61
2014-08-05,2008.0,2008.0,2008.0,2008.0,61814,-0.84
2014-08-06,2020.0,2020.0,2020.0,2020.0,18320,0.6
2014-08-07,2022.5,2022.5,2022.5,2022.5,56780,0.12
2014-08-08,2020.25,2020.25,2020.25,2020.25,23683,-0.11
2014-08-11,2026.75,2026.75,2026.75,2026.75,26452,0.32
2014-08-12,2044.25,2044.25,2044.25,2044.25,34157,0.86
2014-08-13,2017.5,2017.5,2017.5,2017.5,22988,-1.31
2014-08-14,1988.75,1988.75,1988.75,1988.75,14358,-1.43
2014-08-15,1992.0,1992.0,1992.0,1992.0,14632,0.16
2014-08-18,2009.75,2009.75,2009.75,2009.75,18501,0.89
2014-08-19,2039.0,2039.0,2039.0,2039.0,51346,1.46
