Date,Open,High,Low,Close,Volume,Change Pct
2008-01-14,2051.0,2051.0,2051.0,2051.0,0,-0.19
2008-01-15,2036.0,2036.0,2036.0,2036.0,0,-0.73
2008-01-16,2035.0,2035.0,2035.0,2040.0,1,0.2
2008-01-17,2037.0,2037.0,2037.0,2037.0,0,-0.15
2008-01-18,2027.0,2027.0,2027.0,2027.0,0,-0.49
2008-01-21,2023.0,2023.0,2023.0,2023.0,0,-0.2
2008-01-22,2073.0,2073.0,2073.0,2073.0,0,2.47
2008-01-23,2062.0,2062.0,2062.0,2062.0,0,-0.53
2008-01-24,2057.0,2057.0,2057.0,2057.0,0,-0.24
2008-01-25,2051.0,2051.0,2051.0,2051.0,0,-0.29
2008-01-28,2075.0,2075.0,2075.0,2075.0,0,1.17
2008-01-29,2092.0,2092.0,2092.0,2092.0,0,0.82
2008-01-30,2113.0,2113.0,2113.0,2113.0,0,1.0
2008-01-31,2108.0,2108.0,2108.0,2108.0,0,-0.24
2008-02-01,2130.0,2130.0,2130.0,2130.0,0,1.04
2008-02-04,2165.0,2165.0,2165.0,2165.0,0,1.64
2008-02-05,2166.0,2166.0,2166.0,2166.0,0,0.05
2008-02-06,2175.0,2175.0,2175.0,2175.0,0,0.42
2008-02-07,2194.0,2194.0,2194.0,2194.0,0,0.87
2008-02-08,2220.0,2220.0,2220.0,2220.0,0,1.19
2008-02-11,2210.0,2210.0,2210.0,2200.0,6,-0.9
2008-02-12,2197.0,2197.0,2197.0,2197.0,0,-0.14
2008-02-13,2267.0,2267.0,2267.0,2267.0,0,3.19
2008-02-14,2337.0,2337.0,2330.0,2356.0,6,3.93
2008-02-15,2357.0,2357.0,2357.0,2357.0,0,0.04
2008-02-18,2294.0,2294.0,2294.0,2294.0,0,-2.67
2008-02-19,2380.0,2380.0,2380.0,2380.0,0,3.75
2008-02-20,2380.0,2380.0,2380.0,2380.0,0,0.0
2008-02-21,2436.0,2436.0,2436.0,2436.0,0,2.35
2008-02-22,2495.0,2495.0,2495.0,2495.0,0,2.42
2008-02-25,2561.0,2561.0,2561.0,2561.0,0,2.65
2008-02-26,2527.0,2527.0,2527.0,2527.0,0,-1.33
2008-02-27,2624.0,2624.0,2624.0,2624.0,0,3.84
2008-02-28,2711.0,2711.0,2711.0,2711.0,0,3.32
2008-02-29,2718.0,2718.0,2718.0,2718.0,0,0.26
2008-03-03,2721.0,2721.0,2721.0,2721.0,0,0.11
2008-03-04,2722.0,2722.0,2722.0,2722.0,0,0.04
2008-03-05,2751.0,2751.0,2751.0,2751.0,0,1.07
2008-03-06,2588.0,2588.0,2588.0,2588.0,0,-5.93
2008-03-07,2469.0,2469.0,2469.0,2469.0,0,-4.6
2008-03-10,2481.0,2481.0,2481.0,2481.0,0,0.49
2008-03-11,2517.0,2517.0,2517.0,2517.0,0,1.45
