Date,Open,High,Low,Close,Volume,Change Pct
2000-01-03,6.15,6.18,6.05,6.1,7986,-0.33
2000-01-04,6.08,6.11,5.76,5.77,24470,-5.41
2000-01-05,5.73,5.9,5.73,5.81,9780,0.69
2000-01-06,5.9,5.94,5.76,5.77,10480,-0.69
2000-01-07,5.81,5.88,5.69,5.84,12075,1.21
2000-01-10,5.85,5.93,5.78,5.83,7474,-0.17
2000-01-11,5.77,5.8,5.65,5.67,15950,-2.74
2000-01-12,5.6,5.62,5.42,5.45,23826,-3.88
2000-01-13,5.45,5.53,5.4,5.49,12047,0.73
2000-01-14,5.56,5.6,5.43,5.45,11099,-0.73
2000-01-18,5.38,5.44,5.28,5.29,16033,-2.94
2000-01-19,5.31,5.5,5.31,5.49,11967,3.78
2000-01-20,5.45,5.6,5.45,5.56,11919,1.28
2000-01-21,5.47,5.52,5.42,5.43,9642,-2.34
2000-01-24,5.38,5.41,5.26,5.29,9206,-2.58
2000-01-25,5.35,5.4,5.3,5.32,9792,0.57
2000-01-26,5.2,5.59,5.2,5.4,19092,1.5
2000-01-27,5.36,5.52,5.36,5.41,15376,0.19
2000-01-28,5.41,5.57,5.41,5.47,10747,1.11
2000-01-31,5.47,5.59,5.32,5.42,18096,-0.91
2000-02-01,5.3,5.42,5.3,5.39,7079,-0.55
2000-02-02,5.42,5.54,5.42,5.5,7925,2.04
2000-02-03,5.65,5.68,5.54,5.61,20525,2.0
2000-02-04,5.58,5.8,5.58,5.79,15833,3.21
2000-02-07,5.85,5.94,5.63,5.66,23194,-2.25
2000-02-08,5.67,5.69,5.4,5.53,17850,-2.3
2000-02-09,5.55,5.59,5.46,5.49,12358,-0.72
2000-02-10,5.51,5.55,5.48,5.52,14362,0.55
2000-02-11,5.5,5.54,5.49,5.49,7808,-0.54
2000-02-14,5.4,5.45,5.21,5.21,18132,-5.1
2000-02-15,5.15,5.31,5.04,5.13,18806,-1.54
2000-02-16,5.22,5.26,4.95,4.95,15991,-3.51
2000-02-17,4.98,5.13,4.97,5.07,9513,2.42
2000-02-18,5.05,5.1,5.03,5.03,11769,-0.79
2000-02-22,5.03,5.14,5.03,5.14,14668,2.19
2000-02-23,5.14,5.15,5.09,5.15,14522,0.19
2000-02-24,5.1,5.15,5.09,5.12,17585,-0.58
2000-02-25,5.1,5.12,4.93,4.94,15905,-3.52
2000-02-28,4.82,4.88,4.68,4.7,16950,-4.86
2000-02-29,4.75,4.82,4.62,4.65,0,-1.06
2000-03-01,4.98,5.14,4.98,5.08,10467,9.25
2000-03-02,5.05,5.13,4.94,4.96,9638,-2.36
2000-03-03,4.96,5.06,4.96,5.05,5879,1.81
2000-03-06,5.1,5.16,5.03,5.04,11290,-0.2
2000-03-07,5.03,5.14,5.03,5.07,9369,0.6
2000-03-08,5.13,5.29,5.07,5.12,14884,0.99
2000-03-09,5.19,5.21,5.13,5.16,5090,0.78
2000-03-10,5.23,5.26,5.15,5.22,8036,1.16
2000-03-13,5.29,5.43,5.26,5.42,21174,3.83
2000-03-14,5.36,5.39,5.17,5.28,12128,-2.58
2000-03-15,5.25,5.35,5.18,5.25,8679,-0.57
2000-03-16,5.3,5.35,5.25,5.34,8060,1.71
2000-03-17,5.33,5.35,5.26,5.27,4970,-1.31
2000-03-20,5.2,5.29,5.11,5.13,11128,-2.66
2000-03-21,5.06,5.22,5.06,5.2,10596,1.36
2000-03-22,5.18,5.26,5.16,5.25,7388,0.96
2000-03-23,5.3,5.49,5.26,5.45,23003,3.81
2000-03-24,5.44,5.47,5.32,5.38,12199,-1.28
2000-03-27,5.37,5.5,5.37,5.47,10652,1.67
2000-03-28,5.5,5.57,5.39,5.41,16789,-1.1
2000-03-29,5.4,5.44,5.28,5.42,10942,0.18
2000-03-30,5.52,5.55,5.47,5.55,12831,2.4
2000-03-31,5.58,5.94,5.58,5.9,46870,6.31
2000-04-03,5.88,5.93,5.73,5.91,20337,0.17
2000-04-04,5.84,5.88,5.75,5.81,11371,-1.69
2000-04-05,5.79,6.04,5.79,6.02,18129,3.61
2000-04-06,6.1,6.14,5.92,5.96,13718,-1.0
2000-04-07,5.86,5.99,5.82,5.89,10888,-1.17
2000-04-10,5.86,5.92,5.84,5.86,7806,-0.51
2000-04-11,5.78,5.98,5.78,5.97,14486,1.88
2000-04-12,5.93,6.05,5.88,6.03,13203,1.01
2000-04-13,6.05,6.19,6.05,6.16,17342,2.16
2000-04-14,6.01,6.25,6.01,6.23,13418,1.14
2000-04-17,6.21,6.46,6.12,6.45,10374,3.53
2000-04-18,6.46,6.48,6.33,6.35,8424,-1.55
2000-04-19,6.31,6.52,6.31,6.41,8930,0.94
2000-04-20,6.34,6.49,6.31,6.44,9929,0.47
2000-04-24,6.37,6.46,6.35,6.37,5552,-1.09
2000-04-25,6.32,6.42,6.31,6.36,8358,-0.16
2000-04-26,6.33,6.38,6.26,6.27,9859,-1.42
2000-04-27,6.23,6.28,6.15,6.18,13424,-1.44
2000-04-28,6.1,6.45,5.5,5.16,0,-16.5
