Date,Open,High,Low,Close,Volume,Change Pct
2011-01-28,31.42,31.42,31.42,31.42,0,1.22
2011-01-31,31.46,31.46,31.46,31.46,0,0.13
2011-02-01,31.73,31.73,31.73,31.73,0,0.86
2011-02-02,31.73,31.73,31.73,31.73,0,0.0
2011-02-03,31.73,31.73,31.73,31.73,0,0.0
2011-02-04,31.6,31.6,31.6,31.6,0,-0.41
2011-02-07,31.6,31.6,31.6,31.6,0,0.0
2011-02-08,31.6,31.6,31.6,31.6,0,0.0
2011-02-09,31.91,31.91,31.91,31.91,0,0.98
2011-02-10,31.97,31.97,31.97,31.97,0,0.19
2011-02-11,31.44,31.44,31.44,31.44,0,-1.66
2011-02-14,31.33,31.33,31.33,31.33,0,-0.35
2011-02-15,30.84,30.84,30.84,30.84,0,-1.56
2011-02-16,30.36,30.36,30.36,30.36,0,-1.56
2011-02-17,30.61,30.61,30.61,30.61,0,0.82
2011-02-18,30.48,30.48,30.48,30.48,0,-0.42
2011-02-21,30.29,30.29,30.29,30.29,0,-0.62
2011-02-22,29.21,29.21,29.21,29.21,0,-3.57
2011-02-23,29.28,29.28,29.28,29.28,0,0.24
2011-02-24,29.28,29.28,29.28,29.28,0,0.0
2011-02-25,30.0,30.0,30.0,30.0,0,2.46
2011-02-28,29.84,29.84,29.84,29.84,0,-0.53
2011-03-02,30.94,30.94,30.94,30.94,0,3.69
2011-03-03,31.3,31.3,31.3,31.3,0,1.16
2011-03-04,31.34,31.34,31.34,31.34,0,0.13
2011-03-09,30.51,30.51,30.51,30.51,0,-2.65
2011-03-10,30.45,30.45,30.45,30.45,0,-0.2
2011-03-11,30.14,30.14,30.14,30.14,0,-1.02
2011-03-14,30.15,30.15,30.15,30.15,0,0.03
2011-03-15,29.07,29.07,29.07,29.07,0,-3.58
2011-03-16,29.38,29.38,29.38,29.38,0,1.07
2011-03-17,30.01,30.01,30.01,30.01,0,2.14
2011-03-18,30.59,30.59,30.59,30.59,0,1.93
2011-03-21,30.43,30.43,30.43,30.43,0,-0.52
2011-03-22,30.43,30.43,30.43,30.43,0,0.0
2011-03-23,30.36,30.36,30.36,30.36,0,-0.23
2011-03-24,30.45,30.45,30.45,30.45,0,0.3
2011-03-25,30.46,30.46,30.46,30.46,0,0.03
2011-03-28,30.33,30.33,30.33,30.33,0,-0.43
2011-03-29,30.37,30.37,30.37,30.37,0,0.13
2011-03-30,29.81,29.81,29.81,29.81,0,-1.84
2011-03-31,30.5,30.81,30.5,30.9,153,3.66
2011-04-01,30.7,30.7,30.5,30.55,95,-1.13
2011-04-04,30.5,30.5,30.25,30.3,46,-0.82
2011-04-05,30.2,30.2,29.9,30.02,190,-0.92
2011-04-06,30.0,30.1,29.9,30.1,124,0.27
2011-04-07,30.2,30.2,29.98,30.15,31,0.17
2011-04-08,30.05,30.4,30.0,30.5,141,1.16
2011-04-11,30.5,30.5,30.1,30.12,27,-1.25
2011-04-12,30.12,30.12,29.7,29.77,168,-1.16
2011-04-13,29.75,29.8,29.75,29.9,11,0.44
2011-04-14,29.4,29.5,29.3,29.4,60,-1.67
2011-04-15,29.44,29.44,29.2,29.35,67,-0.17
2011-04-18,29.45,29.45,29.45,29.45,0,0.34
2011-04-19,29.5,29.5,29.5,29.5,60,0.17
2011-04-20,29.7,29.8,29.6,29.7,50,0.68
2011-04-25,29.5,29.85,29.5,29.8,96,0.34
2011-04-26,29.75,29.8,29.7,29.75,8,-0.17
