Date,Open,High,Low,Close,Volume,Change Pct
2010-10-25,145.0,145.0,145.0,145.0,0,0.76
2010-10-26,145.1,145.1,145.1,145.1,0,0.07
2010-10-27,144.5,144.5,144.5,144.5,0,-0.41
2010-10-28,144.0,144.0,144.0,144.0,0,-0.35
2010-10-29,147.5,147.5,147.5,147.5,0,2.43
2010-11-01,146.0,146.0,146.0,146.0,0,-1.02
2010-11-02,152.0,152.0,152.0,152.0,0,4.11
2010-11-03,153.5,153.5,153.5,153.5,0,0.99
2010-11-04,156.5,156.5,156.5,156.5,0,1.95
2010-11-05,158.3,158.3,158.3,158.3,0,1.15
2010-11-08,161.5,161.5,161.5,161.5,0,2.02
2010-11-09,162.0,162.0,162.0,162.0,0,0.31
2010-11-10,157.5,157.5,157.5,157.5,0,-2.78
2010-11-11,159.0,159.0,159.0,159.0,0,0.95
2010-11-12,155.8,155.8,155.8,155.8,0,-2.01
2010-11-15,156.0,156.0,156.0,156.0,0,0.13
2010-11-16,160.3,160.3,160.3,160.3,0,2.76
2010-11-17,158.5,158.5,158.5,158.5,0,-1.12
2010-11-18,158.0,158.0,158.0,158.0,0,-0.32
2010-11-19,159.5,159.5,159.5,159.5,0,0.95
2010-11-22,160.0,160.0,160.0,160.0,0,0.31
2010-11-23,161.0,161.0,161.0,161.0,0,0.63
2010-11-24,161.5,161.5,161.5,161.5,0,0.31
2010-11-26,161.0,161.0,161.0,161.0,0,-0.31
2010-11-29,160.5,160.5,160.5,160.5,0,-0.31
2010-11-30,160.5,160.5,160.5,160.5,0,0.0
2010-12-01,166.8,166.8,166.8,166.8,0,3.93
2010-12-02,167.0,167.0,167.0,167.0,0,0.12
2010-12-03,168.0,168.0,168.0,168.0,0,0.6
2010-12-06,169.0,169.0,169.0,169.0,0,0.6
2010-12-07,169.9,169.9,169.9,169.9,0,0.53
2010-12-08,169.1,169.1,169.1,169.1,0,-0.47
2010-12-09,168.0,168.0,168.0,168.0,0,-0.65
2010-12-10,169.0,169.0,169.0,169.0,0,0.6
2010-12-13,169.0,169.0,169.0,169.0,0,0.0
2010-12-14,169.5,169.5,169.5,169.5,0,0.3
2010-12-15,169.5,169.5,169.5,169.5,0,0.0
2010-12-16,169.0,169.0,169.0,169.0,0,-0.29
2010-12-17,169.0,169.0,169.0,169.0,0,0.0
2010-12-20,169.0,169.0,169.0,169.0,0,0.0
2010-12-21,169.0,169.0,169.0,169.0,0,0.0
2010-12-22,168.8,168.8,168.8,168.8,0,-0.12
2010-12-23,168.8,168.8,168.8,168.8,0,0.0
2010-12-27,168.8,168.8,168.8,168.8,0,0.0
2010-12-28,168.8,168.8,168.8,168.8,0,0.0
2010-12-29,169.0,169.0,169.0,169.0,0,0.12
2010-12-30,169.0,169.0,169.0,169.0,0,0.0
2010-12-31,168.3,168.3,168.3,168.3,0,-0.41
2011-01-03,170.0,170.0,170.0,170.0,0,1.01
2011-01-04,172.1,172.1,172.1,172.1,0,1.24
2011-01-05,174.5,174.5,174.5,174.5,0,1.39
2011-01-06,173.5,173.5,173.5,173.5,0,-0.57
2011-01-07,173.5,173.5,173.5,173.5,0,0.0
2011-01-10,173.5,173.5,173.5,173.5,0,0.0
2011-01-11,175.0,175.0,175.0,175.0,0,0.86
2011-01-12,176.0,176.0,176.0,176.0,0,0.57
2011-01-13,176.0,176.0,176.0,176.0,0,0.0
2011-01-14,179.5,179.5,179.5,179.5,0,1.99
2011-01-19,179.0,179.0,179.0,179.0,0,-0.28
2011-01-20,178.0,178.0,178.0,178.0,0,-0.56
2011-01-21,178.0,178.0,178.0,178.0,0,0.0
2011-01-24,179.0,179.0,179.0,179.0,0,0.56
2011-01-25,179.0,179.0,179.0,179.0,0,0.0
2011-01-26,179.0,179.0,179.0,179.0,0,0.0
2011-01-27,179.5,179.5,179.5,179.5,0,0.28
2011-01-28,179.5,179.5,179.5,179.5,0,0.0
2011-01-31,179.6,179.6,179.6,179.6,0,0.06
2011-02-01,183.0,183.0,183.0,183.0,0,1.89
2011-02-02,184.0,184.0,184.0,184.0,0,0.55
2011-02-03,183.5,183.5,183.5,183.5,0,-0.27
2011-02-04,183.5,183.5,183.5,183.5,0,0.0
2011-02-07,184.8,184.8,184.8,184.8,0,0.71
2011-02-08,185.5,185.5,185.5,185.5,0,0.38
2011-02-09,185.5,185.5,185.5,185.5,0,0.0
2011-02-10,188.0,188.0,188.0,188.0,0,1.35
2011-02-11,188.0,188.0,188.0,188.0,0,0.0
2011-02-14,188.5,188.5,188.5,188.5,0,0.27
2011-02-15,188.9,188.9,188.9,188.9,0,0.21
2011-02-16,187.8,187.8,187.8,187.8,0,-0.58
2011-02-17,187.5,187.5,187.5,187.5,0,-0.16
2011-02-18,187.5,187.5,187.5,187.5,0,0.0
2011-02-22,187.7,187.7,187.7,187.7,0,0.11
2011-02-23,187.6,187.6,187.6,187.6,0,-0.05
2011-02-24,187.5,187.5,187.5,187.5,0,-0.05
2011-02-25,187.5,187.5,187.5,187.5,0,0.0
2011-02-28,187.2,187.2,187.2,187.2,0,-0.16
2011-03-01,173.4,173.4,173.4,173.4,0,-7.37
2011-03-02,172.0,172.0,172.0,172.0,0,-0.81
2011-03-03,173.0,173.0,173.0,173.0,0,0.58
2011-03-04,174.5,174.5,174.5,174.5,0,0.87
2011-03-07,171.6,171.6,171.6,171.6,0,-1.66
2011-03-08,171.5,171.5,171.5,171.5,0,-0.06
2011-03-09,168.8,168.8,168.8,168.8,0,-1.57
2011-03-10,167.8,167.8,167.8,167.8,0,-0.59
2011-03-11,164.0,164.0,164.0,164.0,0,-2.26
2011-03-14,163.1,163.1,163.1,163.1,0,-0.55
2011-03-15,163.6,163.6,163.6,163.6,0,0.31
2011-03-16,167.7,167.7,167.7,167.7,0,2.51
2011-03-17,169.0,169.0,169.0,169.0,0,0.78
2011-03-18,168.9,168.9,168.9,168.9,0,-0.06
2011-03-21,169.3,169.3,169.3,169.3,0,0.24
2011-03-22,170.0,170.0,170.0,170.0,0,0.41
