Date,Open,High,Low,Close,Volume,Change Pct
2000-01-01,249.0,269.0,241.0,256.25,345624,3.12
2000-01-03,249.0,251.5,245.25,247.5,13428,-3.41
2000-01-04,247.5,248.0,241.0,247.25,21173,-0.1
2000-01-05,247.25,250.0,246.0,249.75,14710,1.01
2000-01-06,250.0,251.0,247.5,248.5,13676,-0.5
2000-01-07,248.25,252.0,246.0,251.75,16470,1.31
2000-01-10,251.25,255.0,248.75,253.5,18407,0.7
2000-01-11,253.5,256.0,251.5,253.75,17507,0.1
2000-01-12,253.75,260.0,252.25,258.75,21316,1.97
2000-01-13,258.25,263.75,257.0,263.5,21220,1.84
2000-01-14,262.75,267.75,261.25,265.0,27429,0.57
2000-01-18,261.5,265.5,261.0,264.5,14233,-0.19
2000-01-19,265.0,267.0,263.0,266.0,12109,0.57
2000-01-20,265.5,265.75,262.5,265.0,14764,-0.38
2000-01-21,265.25,266.25,261.5,264.25,13981,-0.28
2000-01-24,265.5,269.0,265.0,266.0,17626,0.66
2000-01-25,265.25,266.75,263.0,264.75,11579,-0.47
2000-01-26,264.5,264.75,259.0,260.0,17875,-1.79
2000-01-27,260.0,264.0,256.5,263.5,26298,1.35
2000-01-28,263.75,264.75,259.0,259.75,15926,-1.42
2000-01-31,258.25,258.25,254.0,256.25,15897,-1.35
2000-02-01,256.0,260.0,254.25,258.0,11347,0.68
2000-02-02,258.0,260.0,256.5,257.25,9083,-0.29
2000-02-03,257.0,257.0,253.0,253.75,17194,-1.36
2000-02-04,253.0,257.5,249.0,257.0,21559,1.28
2000-02-07,259.0,260.75,257.0,258.75,16378,0.68
2000-02-08,259.0,260.25,256.5,259.25,12208,0.19
2000-02-09,258.0,266.0,257.0,265.5,24312,2.41
2000-02-10,265.0,273.0,265.0,271.75,35791,2.35
2000-02-11,272.75,273.5,267.5,269.5,35626,-0.83
2000-02-14,269.0,272.75,268.0,268.75,12204,-0.28
2000-02-15,269.5,269.5,265.0,266.0,16493,-1.02
2000-02-16,266.0,268.0,263.25,265.25,21644,-0.28
2000-02-17,265.0,267.0,262.0,262.5,10304,-1.04
2000-02-18,262.0,265.0,261.0,264.75,11416,0.86
2000-02-22,264.25,267.0,262.0,262.25,17338,-0.94
2000-02-23,261.5,262.5,254.25,254.75,19100,-2.86
2000-02-24,257.0,257.25,253.5,254.75,10938,0.0
2000-02-25,255.0,258.25,247.5,248.0,13855,-2.65
2000-02-28,247.0,253.0,244.0,244.5,19382,-1.41
2000-02-29,244.75,248.25,244.0,247.0,9235,1.02
2000-03-01,246.0,249.75,245.75,247.75,7248,0.3
2000-03-02,247.0,247.5,244.25,247.25,6819,-0.2
2000-03-03,246.5,248.5,245.5,247.5,5167,0.1
2000-03-06,246.5,250.0,245.75,249.75,4772,0.91
2000-03-07,250.0,252.0,249.0,250.0,3562,0.1
2000-03-08,249.0,252.0,248.0,252.0,3601,0.8
2000-03-09,256.0,256.5,254.0,254.25,85,0.89
2000-03-10,254.5,254.5,249.5,250.0,284,-1.67
2000-03-13,252.5,254.5,252.0,253.75,265,1.5
2000-03-14,256.0,259.5,256.0,259.5,238,2.27
2000-03-15,271.0,271.5,267.25,268.75,11503,3.56
2000-03-16,268.25,270.0,266.0,266.25,11960,-0.93
2000-03-17,266.25,273.0,266.0,272.25,17957,2.25
2000-03-20,267.5,268.25,266.0,266.25,10129,-2.2
2000-03-21,266.25,266.25,259.25,260.25,19367,-2.25
2000-03-22,260.75,263.0,258.0,261.75,11759,0.58
2000-03-23,262.75,262.75,256.0,256.25,15736,-2.1
2000-03-24,256.25,258.5,252.0,252.75,20106,-1.37
2000-03-27,254.0,256.0,252.75,254.5,6304,0.69
2000-03-28,255.0,255.0,249.5,249.75,10171,-1.87
2000-03-29,251.0,252.0,248.5,251.25,6859,0.6
2000-03-30,251.75,256.5,251.0,255.5,8594,1.69
2000-03-31,255.5,263.5,254.75,262.25,20974,2.64
2000-04-01,262.75,267.0,240.5,242.25,159282,-7.63
2000-04-03,262.75,267.0,257.0,257.75,15617,6.4
2000-04-04,257.75,259.5,254.0,255.75,6555,-0.78
2000-04-05,256.5,258.0,253.75,256.25,7049,0.2
2000-04-06,256.5,257.0,252.25,253.75,7556,-0.98
2000-04-07,254.25,259.0,251.25,258.5,6911,1.87
2000-04-10,257.75,257.75,252.5,252.75,8395,-2.22
2000-04-11,252.5,255.0,251.5,252.75,7490,0.0
2000-04-12,252.5,256.5,251.75,255.5,7794,1.09
2000-04-13,255.5,258.75,254.5,257.75,8143,0.88
2000-04-14,257.5,261.0,255.25,255.75,5389,-0.78
2000-04-17,256.0,258.25,253.0,253.25,6756,-0.98
2000-04-18,253.25,256.0,249.5,252.25,9474,-0.39
2000-04-19,253.0,253.5,249.25,253.0,6693,0.3
2000-04-20,254.0,254.0,248.5,251.0,5861,-0.79
2000-04-24,248.0,252.5,248.0,250.75,5238,-0.1
2000-04-25,250.75,253.25,250.5,252.25,6342,0.6
2000-04-26,252.0,255.0,248.0,248.5,11498,-1.49
2000-04-27,248.0,248.25,240.5,241.0,20526,-3.02
2000-04-28,241.0,249.0,240.5,242.25,5995,0.52
2000-05-01,248.5,254.0,243.0,251.0,4986,3.61
2000-05-02,251.5,255.5,251.5,254.25,4981,1.29
2000-05-03,258.0,264.5,257.5,260.0,793,2.26
2000-05-04,263.75,265.5,259.0,265.5,227,2.12
2000-05-05,262.5,263.0,259.75,261.75,73,-1.41
2000-05-08,259.0,260.25,257.0,258.0,89,-1.43
2000-05-09,257.5,258.5,257.0,257.75,305,-0.1
2000-05-10,261.0,265.0,261.0,265.0,52,2.81
2000-05-11,268.0,273.0,266.0,272.5,365,2.83
2000-05-12,270.0,271.0,270.0,271.0,16,-0.55
2000-05-15,282.5,283.75,276.0,282.25,27471,4.15
2000-05-16,283.0,285.5,280.5,281.25,18203,-0.35
2000-05-17,281.25,284.5,276.0,277.0,21476,-1.51
2000-05-18,278.0,281.5,271.0,272.0,25393,-1.81
2000-05-19,272.0,277.0,271.5,276.25,11394,1.56
2000-05-22,275.5,283.5,273.5,280.25,19061,1.45
2000-05-23,281.0,284.5,280.0,281.25,18248,0.36
2000-05-24,280.75,281.25,278.25,279.5,10925,-0.62
2000-05-25,279.5,282.0,276.0,279.5,18925,0.0
2000-05-26,279.5,281.5,278.5,280.75,12425,0.45
2000-05-30,280.0,280.0,272.5,274.25,20488,-2.32
2000-05-31,275.0,276.75,274.0,274.75,12563,0.18
2000-06-01,276.5,278.75,270.0,270.5,22139,-1.55
2000-06-02,270.5,272.0,267.25,271.25,20821,0.28
2000-06-05,272.25,274.0,264.0,266.0,24788,-1.94
2000-06-06,266.0,268.0,263.0,267.0,16747,0.38
2000-06-07,267.5,268.5,260.0,264.25,23227,-1.03
2000-06-08,264.5,268.0,263.5,266.5,14206,0.85
2000-06-09,266.5,271.75,265.5,269.75,23714,1.22
2000-06-12,268.5,268.5,264.5,265.75,17280,-1.48
2000-06-13,266.0,268.25,264.25,264.75,16950,-0.38
2000-06-14,263.5,264.75,260.5,261.25,18736,-1.32
2000-06-15,261.0,264.75,260.0,262.75,15903,0.57
2000-06-16,262.5,265.5,262.5,263.0,11340,0.1
2000-06-19,263.75,269.5,261.5,268.75,12977,2.19
2000-06-20,267.5,276.0,266.5,273.75,26265,1.86
2000-06-21,274.0,279.75,273.0,277.0,19652,1.19
2000-06-22,277.25,281.0,275.0,277.5,15076,0.18
2000-06-23,277.0,277.5,272.0,272.25,14207,-1.89
2000-06-26,272.25,276.75,271.25,274.0,11067,0.64
2000-06-27,274.0,277.0,273.0,273.75,11225,-0.09
2000-06-28,273.75,274.0,270.25,271.5,13040,-0.82
2000-06-29,271.5,274.0,270.75,271.75,19153,0.09
2000-06-30,272.0,274.0,258.5,259.5,7292,-4.51
2000-07-01,260.5,261.5,237.5,246.25,72615,-5.11
2000-07-03,260.5,261.5,243.0,245.5,5347,-0.3
2000-07-05,247.5,251.0,247.0,248.0,3508,1.02
2000-07-06,248.5,250.0,244.0,244.5,955,-1.41
2000-07-07,244.5,248.0,244.5,245.5,541,0.41
2000-07-10,243.0,247.25,241.0,247.25,736,0.71
2000-07-11,246.75,249.0,246.75,247.0,536,-0.1
2000-07-12,242.0,243.0,237.5,243.0,443,-1.62
2000-07-13,242.0,245.5,242.0,245.0,59,0.82
2000-07-14,244.0,244.5,242.0,242.5,63,-1.02
2000-07-17,248.0,248.0,243.75,244.25,7233,0.72
2000-07-18,244.25,247.5,241.0,241.25,6523,-1.23
2000-07-19,241.25,246.0,239.0,244.5,7136,1.35
2000-07-20,244.0,247.5,244.0,246.75,3792,0.92
2000-07-21,247.0,248.5,246.5,247.25,4380,0.2
2000-07-24,247.25,249.5,242.5,245.5,4393,-0.71
2000-07-25,244.75,247.0,243.0,245.5,5973,0.0
2000-07-26,245.5,247.5,243.0,244.25,3755,-0.51
2000-07-27,244.25,247.75,244.25,245.75,5413,0.61
2000-07-28,246.0,259.0,246.0,248.0,5698,0.92
2000-07-31,247.75,248.25,245.25,246.25,6131,-0.71
2000-08-01,246.25,249.75,242.5,245.0,6981,-0.51
2000-08-02,245.0,247.25,244.5,246.25,5729,0.51
2000-08-03,246.25,247.5,241.75,242.25,7054,-1.62
2000-08-04,241.5,241.5,236.5,237.0,6080,-2.17
2000-08-07,237.0,239.75,233.0,233.5,6493,-1.48
2000-08-08,234.5,237.0,234.0,236.5,8204,1.28
2000-08-09,236.0,237.5,233.5,235.5,7031,-0.42
2000-08-10,235.5,238.0,235.0,235.75,10411,0.11
2000-08-11,236.0,238.0,232.5,236.75,7029,0.42
2000-08-14,237.0,239.0,236.0,238.5,2579,0.74
2000-08-15,239.0,241.5,238.25,240.5,3775,0.84
2000-08-16,241.0,244.5,241.0,243.5,6007,1.25
2000-08-17,244.75,245.5,238.5,239.5,4709,-1.64
2000-08-18,239.5,241.25,237.5,238.75,5945,-0.31
2000-08-21,238.75,238.75,234.0,236.25,5510,-1.05
2000-08-22,236.5,238.0,234.5,234.75,5745,-0.63
