Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2005-08-29,-4630.485513376635,-5526.708515965662,-4630.485513376635,-5138.34521484375,1091,0.0,0.0
2005-08-30,-5377.337779017857,-5466.960075334821,-4869.4780998883925,-5227.96728515625,480,0.0,0.0
2005-08-31,-5257.841615188953,-5377.338015534157,-5018.848814498547,-5138.34521484375,1177,0.0,0.0
2005-09-01,-5227.967393663194,-5377.337890625,-4959.100499131944,-5377.337890625,2002,0.0,0.0
2005-09-02,-5377.337890625,-5974.819878472223,-4988.974598524305,-5377.337890625,785,0.0,0.0
2005-09-05,-5347.463075657895,-5735.826315789474,-5198.092598684211,-5676.078125,201,0.0,0.0
2005-09-06,-5676.07876392121,-5705.9528626786905,-5407.21187510389,-5616.33056640625,398,0.0,0.0
2005-09-08,-5466.959767261697,-5616.330252706006,-5078.596505106495,-5347.46337890625,1048,0.0,0.0
2005-09-09,-5138.3444904704675,-5437.08544921875,-5138.3444904704675,-5437.08544921875,491,0.0,0.0
2005-09-12,-5227.967210249467,-5317.589505282315,-5078.596718528053,-5257.84130859375,484,0.0,0.0
2005-09-13,-5168.218517866291,-5466.95947265625,-5048.722135950307,-5466.95947265625,393,0.0,0.0
2005-09-14,-5466.959856123201,-5735.826734293194,-5377.337563399869,-5705.95263671875,221,0.0,0.0
2005-09-15,-5735.826586787564,-6124.1898452679725,-5646.204296369009,-5765.70068359375,1320,0.0,0.0
2005-09-16,-5705.952136107166,-6064.441275548454,-5526.707566386522,-5915.07080078125,1542,0.0,0.0
2005-09-19,-6034.567328005421,-6064.441423688616,-5825.448658223055,-5855.32275390625,239,0.0,0.0
2005-09-20,-5915.071092743235,-6034.567478455219,-5676.078321319265,-5795.57470703125,812,0.0,0.0
2005-09-21,-5825.44925770861,-5855.32335646609,-5466.96007261885,-5616.33056640625,448,0.0,0.0
2005-09-22,-5616.330718665995,-5616.330718665995,-5437.086121261761,-5556.58251953125,208,0.0,0.0
2005-09-23,-5556.58251953125,-5646.204818233367,-5496.834320396505,-5556.58251953125,318,0.0,0.0
