Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2000-01-10,2.5,2.5,2.5,2.5,3600,0,0.0
2000-01-11,2.5,2.5,2.5,2.5,0,0,0.0
2000-01-12,2.5,2.5,2.5,2.5,0,0,0.0
2000-01-13,2.0,2.5,1.5,2.5,2000,0,0.0
2000-01-14,3.0,3.5,3.0,3.5,5000,0,0.0
2000-01-17,3.25,3.25,3.25,3.25,2000,0,0.0
2000-01-18,3.25,3.25,3.25,3.25,0,0,0.0
2000-01-19,3.25,3.25,3.25,3.25,0,0,0.0
2000-01-20,3.5,3.75,3.5,3.75,6000,0,0.0
2000-01-21,3.75,3.75,3.75,3.75,0,0,0.0
2000-01-24,3.75,3.75,3.75,3.75,0,0,0.0
2000-01-25,3.75,3.75,3.75,3.75,0,0,0.0
2000-01-26,3.75,3.75,3.75,3.75,0,0,0.0
2000-01-27,4.099999904632568,4.5,4.099999904632568,4.5,2200,0,0.0
2000-01-28,4.5,4.5,4.5,4.5,0,0,0.0
2000-01-31,4.5,4.5,4.5,4.5,0,0,0.0
2000-02-01,4.5,4.5,4.5,4.5,0,0,0.0
2000-02-02,4.5,4.5,4.5,4.5,0,0,0.0
2000-02-03,4.75,4.75,4.75,4.75,1000,0,0.0
2000-02-04,4.75,4.75,4.75,4.75,0,0,0.0
2000-02-07,4.75,4.75,4.75,4.75,0,0,0.0
2000-02-08,5.0,5.0,5.0,5.0,1000,0,0.0
2000-02-09,3.5999999046325684,4.75,3.5999999046325684,4.75,59000,0,0.0
2000-02-10,4.75,4.75,4.75,4.75,0,0,0.0
2000-02-11,4.75,4.75,4.75,4.75,0,0,0.0
2000-02-14,4.75,4.75,4.75,4.75,0,0,0.0
2000-02-15,4.75,4.75,4.75,4.75,0,0,0.0
2000-02-16,4.75,4.75,4.75,4.75,0,0,0.0
2000-02-17,4.75,4.75,4.75,4.75,0,0,0.0
2000-02-18,4.75,4.75,4.75,4.75,0,0,0.0
2000-02-21,4.75,4.75,4.75,4.75,0,0,0.0
2000-02-22,4.75,4.75,4.75,4.75,0,0,0.0
2000-02-23,4.75,4.75,4.75,4.75,0,0,0.0
2000-02-24,4.75,4.75,4.75,4.75,0,0,0.0
2000-02-25,4.75,4.75,4.75,4.75,0,0,0.0
2000-02-28,4.75,4.75,4.75,4.75,0,0,0.0
2000-02-29,4.75,4.75,4.75,4.75,0,0,0.0
2000-03-01,4.75,4.75,4.75,4.75,0,0,0.0
2000-03-02,4.75,4.75,4.75,4.75,0,0,0.0
2000-03-03,4.75,4.75,4.75,4.75,0,0,0.0
2000-03-06,4.75,4.75,4.75,4.75,0,0,0.0
2000-03-07,4.75,4.75,4.75,4.75,0,0,0.0
2000-03-08,4.75,4.75,4.75,4.75,0,0,0.0
2000-03-09,4.75,4.75,4.75,4.75,0,0,0.0
2000-03-10,4.75,4.75,4.75,4.75,0,0,0.0
2000-03-13,4.75,4.75,4.75,4.75,0,0,0.0
2000-03-14,4.75,4.75,4.75,4.75,0,0,0.0
2000-03-15,4.75,4.75,4.75,4.75,0,0,0.0
2000-03-16,4.75,4.75,4.75,4.75,0,0,0.0
2000-03-17,4.75,4.75,4.75,4.75,0,0,0.0
2000-03-20,4.75,4.75,4.75,4.75,0,0,0.0
2000-03-21,4.75,4.75,4.75,4.75,0,0,0.0
2000-03-22,4.75,4.75,4.75,4.75,0,0,0.0
2000-03-23,2.75,3.000499963760376,2.75,3.000499963760376,65000,0,0.0
2000-03-24,3.25,3.25,3.25,3.25,200,0,0.0
2000-03-27,3.5,3.5,3.5,3.5,2000,0,0.0
2000-03-28,3.25,3.5,3.25,3.5,9000,0,0.0
2000-03-29,3.5,3.5,3.5,3.5,0,0,0.0
2000-03-30,3.5,3.5,3.5,3.5,0,0,0.0
2000-03-31,3.25,3.5,3.25,3.5,26000,0,0.0
2000-04-03,3.249500036239624,3.249500036239624,3.249500036239624,3.249500036239624,52400,0,0.0
2000-04-04,3.249500036239624,3.249500036239624,3.249500036239624,3.249500036239624,0,0,0.0
2000-04-05,3.249500036239624,3.249500036239624,3.249500036239624,3.249500036239624,0,0,0.0
2000-04-06,3.249500036239624,3.249500036239624,3.249500036239624,3.249500036239624,0,0,0.0
2000-04-07,3.249500036239624,3.249500036239624,3.249500036239624,3.249500036239624,0,0,0.0
2000-04-10,3.249500036239624,3.249500036239624,3.249500036239624,3.249500036239624,0,0,0.0
2000-04-11,3.249500036239624,3.249500036239624,3.249500036239624,3.249500036239624,0,0,0.0
2000-04-12,3.25,3.25,3.25,3.25,200,0,0.0
2000-04-13,3.25,3.25,3.25,3.25,0,0,0.0
2000-04-14,3.25,3.25,3.25,3.25,0,0,0.0
2000-04-17,3.25,3.25,3.25,3.25,0,0,0.0
2000-04-18,3.25,3.25,3.25,3.25,0,0,0.0
2000-04-19,3.25,3.25,3.25,3.25,0,0,0.0
2000-04-20,3.25,3.25,3.25,3.25,0,0,0.0
2000-04-21,3.25,3.25,3.25,3.25,0,0,0.0
2000-04-24,3.25,3.25,3.25,3.25,0,0,0.0
2000-04-25,3.25,3.25,3.25,3.25,0,0,0.0
2000-04-26,3.25,3.25,3.25,3.25,0,0,0.0
2000-04-27,3.25,3.25,3.25,3.25,0,0,0.0
2000-04-28,3.25,3.25,3.25,3.25,0,0,0.0
2000-05-01,3.25,3.25,3.25,3.25,0,0,0.0
2000-05-02,3.25,3.25,3.25,3.25,0,0,0.0
2000-05-03,3.25,3.25,3.25,3.25,0,0,0.0
2000-05-04,3.5,3.5,3.5,3.5,200,0,0.0
2000-05-05,3.5,3.5,3.5,3.5,0,0,0.0
2000-05-08,3.5,3.5,3.5,3.5,0,0,0.0
2000-05-09,3.5,3.5,3.5,3.5,0,0,0.0
2000-05-10,3.5,3.5,3.5,3.5,0,0,0.0
2000-05-11,3.44950008392334,3.450000047683716,3.44950008392334,3.450000047683716,13600,0,0.0
2000-05-12,3.450000047683716,3.450000047683716,3.450000047683716,3.450000047683716,0,0,0.0
2000-05-15,3.450000047683716,3.450000047683716,3.450000047683716,3.450000047683716,0,0,0.0
2000-05-16,3.450000047683716,3.450000047683716,3.450000047683716,3.450000047683716,0,0,0.0
2000-05-17,3.450000047683716,3.450000047683716,3.450000047683716,3.450000047683716,0,0,0.0
2000-05-18,3.450000047683716,3.450000047683716,3.450000047683716,3.450000047683716,0,0,0.0
2000-05-19,3.450000047683716,3.450000047683716,3.450000047683716,3.450000047683716,0,0,0.0
2000-05-22,3.450000047683716,3.450000047683716,3.450000047683716,3.450000047683716,0,0,0.0
2000-05-23,3.450000047683716,3.450000047683716,3.450000047683716,3.450000047683716,0,0,0.0
2000-05-24,3.450000047683716,3.450000047683716,3.450000047683716,3.450000047683716,0,0,0.0
2000-05-25,3.450000047683716,3.450000047683716,3.450000047683716,3.450000047683716,0,0,0.0
2000-05-26,3.450000047683716,3.450000047683716,3.450000047683716,3.450000047683716,0,0,0.0
2000-05-29,3.450000047683716,3.450000047683716,3.450000047683716,3.450000047683716,0,0,0.0
2000-05-30,3.450000047683716,3.450000047683716,3.450000047683716,3.450000047683716,0,0,0.0
2000-05-31,3.450000047683716,3.450000047683716,3.450000047683716,3.450000047683716,0,0,0.0
2000-06-01,3.450000047683716,3.450000047683716,3.450000047683716,3.450000047683716,0,0,0.0
2000-06-02,3.450000047683716,3.450000047683716,3.450000047683716,3.450000047683716,0,0,0.0
2000-06-05,3.450000047683716,3.450000047683716,3.450000047683716,3.450000047683716,0,0,0.0
2000-06-06,3.450000047683716,3.450000047683716,3.450000047683716,3.450000047683716,0,0,0.0
2000-06-07,3.450000047683716,3.450000047683716,3.450000047683716,3.450000047683716,0,0,0.0
2000-06-08,3.450000047683716,3.450000047683716,3.450000047683716,3.450000047683716,0,0,0.0
2000-06-09,3.450000047683716,3.450000047683716,3.450000047683716,3.450000047683716,0,0,0.0
2000-06-12,3.450000047683716,3.450000047683716,3.450000047683716,3.450000047683716,0,0,0.0
2000-06-13,3.450000047683716,3.450000047683716,3.450000047683716,3.450000047683716,0,0,0.0
2000-06-14,3.450000047683716,3.450000047683716,3.450000047683716,3.450000047683716,0,0,0.0
2000-06-15,3.450000047683716,3.450000047683716,3.450000047683716,3.450000047683716,0,0,0.0
2000-06-16,3.450000047683716,3.450000047683716,3.450000047683716,3.450000047683716,0,0,0.0
2000-06-19,3.450000047683716,3.450000047683716,3.450000047683716,3.450000047683716,0,0,0.0
2000-06-20,3.450000047683716,3.450000047683716,3.450000047683716,3.450000047683716,0,0,0.0
2000-06-21,3.5,3.5,3.5,3.5,20200,0,0.0
2000-06-22,3.5,3.5,3.5,3.5,0,0,0.0
2000-06-23,3.5,3.5,3.5,3.5,20000,0,0.0
2000-06-26,3.5,3.5,3.5,3.5,0,0,0.0
2000-06-27,3.5,3.5,3.5,3.5,0,0,0.0
