Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2010-05-06,140.0,140.0,140.0,140.0,25,0,0.0
2010-05-07,140.0,140.0,140.0,140.0,0,0,0.0
2010-05-10,140.0,140.0,140.0,140.0,0,0,0.0
2010-05-11,140.0,140.0,140.0,140.0,0,0,0.0
2010-05-12,140.0,140.0,140.0,140.0,0,0,0.0
2010-05-13,140.0,140.0,140.0,140.0,0,0,0.0
2010-05-14,140.0,140.0,140.0,140.0,0,0,0.0
2010-05-17,140.0,140.0,140.0,140.0,0,0,0.0
2010-05-18,140.0,140.0,140.0,140.0,35,0,0.0
2010-05-19,140.0,140.0,140.0,140.0,0,0,0.0
2010-05-20,140.0,140.0,140.0,140.0,0,0,0.0
2010-05-21,140.0,140.0,140.0,140.0,0,0,0.0
2010-05-24,140.0,140.0,140.0,140.0,0,0,0.0
2010-05-25,140.0,140.0,140.0,140.0,0,0,0.0
2010-05-26,140.0,140.0,140.0,140.0,0,0,0.0
2010-05-27,140.0,140.0,140.0,140.0,0,0,0.0
2010-05-28,140.0,140.0,140.0,140.0,0,0,0.0
2010-05-31,140.0,140.0,140.0,140.0,0,0,0.0
2010-06-01,140.0,140.0,140.0,140.0,0,0,0.0
2010-06-02,140.0,140.0,140.0,140.0,0,0,0.0
2010-06-04,140.0,140.0,140.0,140.0,0,0,0.0
2010-06-07,140.0,140.0,140.0,140.0,0,0,0.0
2010-06-08,140.0,140.0,140.0,140.0,0,0,0.0
2010-06-09,140.0,140.0,140.0,140.0,0,0,0.0
2010-06-10,140.0,140.0,140.0,140.0,0,0,0.0
2010-06-11,140.0,140.0,140.0,140.0,0,0,0.0
2010-06-14,140.0,140.0,140.0,140.0,0,0,0.0
2010-06-15,80.4000015258789,110.0,80.4000015258789,110.0,25,0,0.0
2010-06-16,110.0,110.0,110.0,110.0,0,0,0.0
2010-06-17,110.0,110.0,110.0,110.0,0,0,0.0
2010-06-18,110.0,110.0,110.0,110.0,0,0,0.0
2010-06-21,110.0,110.0,110.0,110.0,0,0,0.0
2010-06-22,110.0,110.0,110.0,110.0,0,0,0.0
2010-06-23,110.0,110.0,110.0,110.0,0,0,0.0
2010-06-24,110.0,110.0,110.0,110.0,0,0,0.0
2010-06-25,110.0,110.0,110.0,110.0,0,0,0.0
2010-06-28,110.0,110.0,110.0,110.0,0,0,0.0
2010-06-29,110.0,110.0,110.0,110.0,0,0,0.0
2010-06-30,110.0,110.0,110.0,110.0,0,0,0.0
2010-07-01,110.0,110.0,110.0,110.0,0,0,0.0
2010-07-02,110.0,110.0,110.0,110.0,0,0,0.0
2010-07-05,110.0,110.0,110.0,110.0,0,0,0.0
2010-07-06,110.0,110.0,110.0,110.0,0,0,0.0
