Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2007-07-03,17.329072952270508,17.924346180986895,17.329072952270508,17.329072952270508,2543100,0.0,0
2007-07-04,17.454747816394686,18.202147745624877,17.454747816394686,17.858211517333984,202500,0.0,0
2007-07-05,17.858211146009456,19.71017327875363,17.858211146009456,19.10167121887207,351600,0.0,0
2007-07-06,19.07521158774034,20.140090302593308,19.048754378192825,19.842453002929688,328500,0.0,0
2007-07-10,19.511750812982793,20.503873735676834,19.511750812982793,19.91521453857422,91000,0.0,0
2007-07-11,19.97473715717888,20.503868749315725,19.915209695369832,20.107019424438477,828500,0.0,0
2007-07-12,20.173159293677134,20.437725064890948,19.51835853684203,20.305442810058594,100700,0.0,0
2007-07-13,19.842454528115013,20.305445638390744,19.280251397508565,19.835840225219727,380800,0.0,0
2007-07-16,19.644029601840256,20.126862337484976,19.644029601840256,19.941665649414062,487000,0.0,0
2007-07-17,20.107019045347105,20.470798111938183,20.107019045347105,20.298830032348633,195500,0.0,0
2007-07-18,20.338513691116614,20.338513691116614,20.107018161021717,20.239301681518555,97900,0.0,0
2007-07-19,20.30544029983679,21.165279265372984,20.239298549822706,20.503864288330078,830200,0.0,0
2007-07-20,20.83457296763867,20.966856475227416,20.239299706587374,20.689062118530273,112400,0.0,0
2007-07-23,20.510484225318272,21.826700239915116,20.510484225318272,21.49599266052246,260400,0.0,0
2007-07-24,21.49598749814229,21.49598749814229,20.966856002807617,20.966856002807617,183200,0.0,0
2007-07-25,21.006538624536695,21.36370203576999,20.312052181309873,20.93378257751465,164100,0.0,0
2007-07-26,20.96685786886768,21.099140123700032,19.511744234868047,20.305442810058594,241600,0.0,0
2007-07-27,19.842453002929688,21.099141440805397,19.71016947829048,19.842453002929688,47300,0.0,0
2007-07-30,19.842459805796672,20.834582796086504,19.710176235804845,20.4046630859375,61100,0.0,0
2007-07-31,20.702293410196145,21.16528451354975,20.50386937250132,20.570011138916016,173800,0.0,0
2007-08-01,19.875519555519737,20.503864288330078,19.83583501013087,20.503864288330078,38200,0.0,0
2007-08-02,21.032997752971983,21.032997752971983,20.371582713425077,20.83457374572754,56100,0.0,0
2007-08-03,20.83457093399845,20.83457093399845,20.173155983712785,20.775043487548828,15400,0.0,0
2007-08-06,20.73536482895374,20.768435081234585,19.8490684430951,20.027650833129883,47900,0.0,0
2007-08-07,20.503866225954088,20.96685725825655,19.84245118640718,20.83457374572754,105500,0.0,0
2007-08-08,20.834578029749647,22.322762174731764,20.834578029749647,22.223548889160156,185800,0.0,0
2007-08-09,20.933785508780073,22.488111086162906,20.933785508780073,22.283071517944336,59500,0.0,0
2007-08-10,20.87425775500435,22.11771744211186,20.834573206891623,21.694412231445312,48200,0.0,0
2007-08-13,22.157400044527922,23.0172389446214,21.562125601256742,21.826692581176758,207600,0.0,0
2007-08-14,22.48150301010426,22.48150301010426,21.165285695737186,21.628276824951172,7200,0.0,0
2007-08-15,21.495988785274445,21.992050064934624,20.10701694991613,20.83457374572754,6900,0.0,0
2007-08-16,19.51174157241295,21.158664692732444,17.858204151022022,19.181034088134766,148900,0.0,0
2007-08-17,21.158664692732444,21.158664692732444,17.31584407865363,19.181034088134766,135600,0.0,0
2007-08-20,19.577889196166087,19.577889196166087,17.342305225163535,18.850332260131836,123100,0.0,0
2007-08-21,19.01568216936929,19.174421625658137,18.281511080177943,18.519620895385742,82200,0.0,0
2007-08-22,18.51962215834205,19.04875371538931,18.18891461980023,18.387338638305664,358800,0.0,0
2007-08-23,18.19552444637863,18.513003302516275,17.527495231454324,18.12276840209961,184700,0.0,0
2007-08-24,17.85821153459923,18.982617950656742,17.593645690100242,18.976003646850586,172600,0.0,0
2007-08-27,18.98261451168696,19.511746104825242,18.90985844454949,19.147968292236328,32800,0.0,0
2007-08-28,18.61883232578851,19.147965092042206,18.61883232578851,19.048751831054688,37200,0.0,0
2007-08-29,19.1016668957543,19.1016668957543,18.850329721219662,18.916471481323242,40900,0.0,0
2007-08-30,19.181043244048055,19.313326805523374,19.114901463310396,19.174428939819336,68600,0.0,0
2007-08-31,19.16119243349806,19.644026350783722,18.68497407926385,19.048751831054688,191900,0.0,0
2007-09-03,19.114894864120185,19.18103662202319,17.930962570007736,18.98261260986328,117100,0.0,0
2007-09-04,19.114894864120185,19.18103662202319,17.930962570007736,18.98261260986328,117300,0.0,0
2007-09-05,18.513011049672894,18.850332948559355,17.930966236518394,18.45348358154297,55400,0.0,0
2007-09-06,18.876790672715376,18.916475232026404,18.321201796163386,18.506397247314453,46500,0.0,0
2007-09-10,17.73254233970634,18.188919211333655,16.86608872323666,17.527503967285156,126500,0.0,0
2007-09-11,17.990487668388003,18.38733564070257,17.659780183759906,17.98387336730957,43700,0.0,0
2007-09-12,17.990487668388003,18.38733564070257,17.659780183759906,17.98387336730957,43700,0.0,0
2007-09-13,18.321198116049743,18.321198116049743,17.203406283995882,17.725923538208008,394800,0.0,0
2007-09-14,17.22986715865242,18.05002319789305,17.22986715865242,17.82514190673828,38700,0.0,0
2007-09-17,17.99049186812369,17.99049186812369,16.99836918263634,17.79206657409668,25400,0.0,0
2007-09-18,18.14922643256229,18.14922643256229,17.26293030589857,17.85158920288086,229100,0.0,0
2007-09-19,18.149231985747992,18.149231985747992,17.26293558790098,17.891279220581055,229200,0.0,0
2007-09-20,17.858207453007793,18.51962254385993,17.858207453007793,18.393953323364258,26000,0.0,0
2007-09-21,18.817258164395493,18.817258164395493,18.18891337939671,18.519620895385742,114400,0.0,0
2007-09-24,18.32120130023708,18.7445066188949,18.32120130023708,18.45348358154297,183600,0.0,0
2007-09-25,18.25505510072068,18.519620860706677,17.99048934073468,18.188913345336914,116500,0.0,0
2007-09-26,18.25505510072068,18.519620860706677,17.99048934073468,18.188913345336914,116500,0.0,0
2007-09-27,18.32120132446289,18.718049430454663,17.897894743695982,18.32120132446289,199900,0.0,0
2007-09-28,18.513010207293608,18.513010207293608,17.89789390563965,17.89789390563965,102000,0.0,0
2007-10-01,18.255057664203314,18.255057664203314,17.85820833772187,17.99049186706543,249700,0.0,0
2007-10-02,17.990491479843783,18.453481299482526,17.792066190099288,18.314584732055664,185300,0.0,0
2007-10-03,17.990491479843783,18.453481299482526,17.792066190099288,18.314584732055664,185300,0.0,0
2007-10-04,18.195530202153638,18.711434452734437,17.85820833772187,17.99049186706543,263500,0.0,0
2007-10-05,17.990492482387488,18.51962409476095,17.534115678247083,18.25505828857422,166900,0.0,0
2007-10-08,18.936316973048292,19.644032309910077,18.221988594226982,18.751121520996094,57300,0.0,0
2007-10-09,18.936316973048292,19.644032309910077,18.221988594226982,18.751121520996094,57300,0.0,0
2007-10-10,19.313326756430463,19.372854232788086,18.684981733344205,19.372854232788086,101300,0.0,0
2007-10-11,19.34639244267691,19.372849653270357,18.850331097992886,19.359621047973633,132000,0.0,0
2007-10-15,19.18103984364292,19.379463889129845,18.195531396165805,18.850332260131836,60400,0.0,0
2007-10-16,19.18103984364292,19.379463889129845,18.195531396165805,18.850332260131836,60400,0.0,0
2007-10-17,19.154584386620492,19.181041601269417,18.658522965898005,19.10167121887207,8800,0.0,0
2007-10-18,19.154578131995624,19.181035338005366,18.658516873254104,19.048751831054688,9000,0.0,0
2007-10-19,19.114897434945618,19.34639298796618,18.188916484412648,18.718048095703125,66500,0.0,0
2007-10-22,17.85820582996715,18.519620860706677,17.600254371674435,18.188913345336914,53400,0.0,0
2007-10-23,17.85820582996715,18.519620860706677,17.600254371674435,18.188913345336914,53400,0.0,0
2007-10-24,18.38734348151208,18.850334662041664,18.255061188181823,18.36088752746582,181100,0.0,0
2007-10-25,18.519623416231145,19.313322067260742,18.519623416231145,19.313322067260742,47100,0.0,0
2007-10-26,19.247178423199777,19.644027709960938,18.420409601426154,19.644027709960938,18700,0.0,0
2007-10-29,19.71016947829048,20.173160552978516,19.51174545288086,19.842453002929688,277600,0.0,0
2007-10-30,19.71016947829048,20.173160552978516,19.51174545288086,19.842453002929688,277600,0.0,0
2007-10-31,19.842452369474717,20.040876388549805,19.313320810908383,20.040876388549805,164700,0.0,0
2007-11-01,20.1731579565159,20.272369956451257,19.18764973559986,19.74323844909668,222500,0.0,0
2007-11-05,19.412534907846382,20.166547775268555,18.850331777948586,20.166547775268555,85500,0.0,0
2007-11-06,19.412531012951792,20.37158203125,18.850327995853377,20.37158203125,86200,0.0,0
2007-11-07,20.378199523102264,20.503868749315725,19.842453628370055,20.107019424438477,70300,0.0,0
2007-11-08,20.63615254381678,20.900718343291512,19.51174631911263,20.06733512878418,69100,0.0,0
2007-11-09,20.834575653076172,20.834575653076172,19.82261009576905,19.842453002929688,36700,0.0,0
2007-11-12,19.815994470174182,19.842451677955022,18.98261260986328,18.98261260986328,26400,0.0,0
2007-11-13,18.98261260986328,19.842451677955022,18.58576332399436,18.98261260986328,37200,0.0,0
2007-11-14,19.18103940217523,19.67710076602459,18.764348411623455,19.5051326751709,133700,0.0,0
2007-11-16,19.511744193857517,19.908593480618677,19.511744193857517,19.644027709960938,23600,0.0,0
2007-11-19,19.088442058483004,19.511747360229492,19.055370543315743,19.511747360229492,5100,0.0,0
2007-11-21,19.18103940217523,19.511746978074804,18.585766017865854,19.5051326751709,30300,0.0,0
2007-11-22,19.617567866458057,19.617567866458057,18.658515657431742,19.181034088134766,83600,0.0,0
2007-11-23,19.08182782089946,19.0884421239556,18.069862161197786,18.850332260131836,52600,0.0,0
2007-11-26,19.04875310621718,19.04875310621718,18.850329094057273,18.98261260986328,25500,0.0,0
2007-11-27,18.85032972669248,19.18103726575726,18.546079396296474,19.081825256347656,53900,0.0,0
2007-11-28,19.042141732260202,19.042141732260202,17.924349836680086,18.162458419799805,161300,0.0,0
2007-11-29,16.667656347361003,18.513003302516275,16.667656347361003,18.12276840209961,298500,0.0,0
2007-11-30,18.208757497684836,18.208757497684836,17.236476528506792,17.428287506103516,359600,0.0,0
2007-12-03,17.81852379660789,17.81852379660789,17.06450969727533,17.46135902404785,53600,0.0,0
2007-12-04,17.81852379660789,17.81852379660789,17.06450969727533,17.46135902404785,53600,0.0,0
2007-12-05,17.50104170183828,17.95741844177246,17.13726392720395,17.95741844177246,248700,0.0,0
2007-12-06,18.136005969176715,18.136005969176715,17.573802761691493,17.858211517333984,145300,0.0,0
2007-12-07,18.136002740103958,18.136002740103958,17.573799632717684,17.99049186706543,145700,0.0,0
2007-12-10,18.18891352678094,18.18891352678094,17.26954702857753,17.454742431640625,90200,0.0,0
2007-12-11,17.957417323111745,17.957417323111745,17.13064855812917,17.190176010131836,94900,0.0,0
2007-12-12,17.196790939261295,17.322460149358868,16.541990204883003,17.124034881591797,36100,0.0,0
2007-12-13,17.19679634526091,17.527503967285156,16.541995405038833,17.527503967285156,25200,0.0,0
2007-12-14,17.573796768379943,17.573796768379943,16.204667887488927,16.938838958740234,25800,0.0,0
2007-12-17,16.290656007412586,16.290656007412586,15.21916407761387,15.675540924072266,34700,0.0,0
2007-12-18,16.59490359682504,16.59490359682504,15.212546050447415,15.47711181640625,27900,0.0,0
2007-12-19,15.51018332561928,15.873961096119041,15.212546050447415,15.47711181640625,68600,0.0,0
2007-12-20,16.198053226931993,16.198053226931993,14.551130025438678,14.848767280578613,443200,0.0,0
2007-12-21,15.536639271440622,15.536639271440622,14.875224225768996,15.47711181640625,48700,0.0,0
2007-12-26,16.184822827010755,16.184822827010755,15.543250801285497,15.840888023376465,114700,0.0,0
2007-12-27,16.18482565313374,16.18482565313374,15.21254599377615,15.536639213562012,113700,0.0,0
2007-12-28,14.815694192134671,15.741674842602675,14.815694192134671,14.8818359375,160500,0.0,0
2008-01-02,15.21254502659498,15.21254502659498,14.815695773591399,14.848767280578613,11000,0.0,0
2008-01-03,14.881837265836745,15.543252255429488,14.881837265836745,15.245615005493164,185100,0.0,0
2008-01-04,15.543252602338706,15.543252602338706,14.815695845238583,15.344828605651855,103600,0.0,0
2008-01-07,15.444043740519232,15.444043740519232,14.696643927341729,15.272075653076172,86700,0.0,0
2008-01-08,15.139792186652853,15.21254825592041,14.690029688542975,15.21254825592041,43200,0.0,0
2008-01-09,15.047194470529972,15.21254825592041,14.656959436084593,15.21254825592041,17000,0.0,0
2008-01-10,15.3580569375543,15.3580569375543,14.683414548375266,15.08687686920166,34800,0.0,0
2008-01-11,15.100107007917837,15.113335612974694,14.749556543206404,14.947981834411621,74400,0.0,0
2008-01-14,14.954594482436198,15.629236865556969,14.55774520548046,14.908295631408691,210800,0.0,0
2008-01-15,14.848768850628925,15.18608942672247,13.664835267831151,14.451919555664062,228500,0.0,0
2008-01-16,14.21381034971273,14.21381034971273,12.599957152240677,13.889717102050781,215400,0.0,0
2008-01-17,13.79711939173285,13.79711939173285,12.566886901855469,12.897594451904297,122800,0.0,0
2008-01-18,12.897589558049253,13.254754182123227,12.302316446141337,12.566882133483887,85400,0.0,0
2008-01-21,12.23617727616254,12.23617727616254,10.721536348326481,11.244054794311523,128500,0.0,0
2008-01-22,11.343268714364967,11.442480727069778,10.529728444016655,10.5826416015625,212300,0.0,0
2008-01-23,10.5165001760857,10.80752318268389,9.9873685836792,9.9873685836792,149700,0.0,0
2008-01-24,10.622326154334587,11.11177317702095,9.921226501464844,10.5826416015625,1185200,0.0,0
2008-01-28,10.549570720402698,10.648783363882103,9.987368263784447,10.5826416015625,644700,0.0,0
2008-01-29,10.708309059244804,11.892241237319624,10.516498106280466,11.574762344360352,320600,0.0,0
2008-01-30,11.548307967225508,12.170038564354098,11.244057602352568,11.905472755432129,375600,0.0,0
2008-01-31,11.607832589296075,11.607832589296075,11.244054848807199,11.574762344360352,61000,0.0,0
2008-02-01,11.879014851548819,11.905472061673938,11.244056947136498,11.502008438110352,65600,0.0,0
2008-02-06,11.4953932309012,11.4953932309012,10.91334853099634,11.144844055175781,44700,0.0,0
2008-02-07,11.230826246213317,11.905469839913504,10.781063850413192,11.574762344360352,29300,0.0,0
2008-02-08,11.244058115329063,11.879016085709841,11.244058115329063,11.627678871154785,12800,0.0,0
2008-02-11,11.310199038679277,11.568150537128785,11.237442970275879,11.237442970275879,88700,0.0,0
2008-02-12,11.515237094531647,12.236179673516848,11.508622791970867,11.938542366027832,200600,0.0,0
2008-02-13,12.229565301893075,12.229565301893075,11.905472047540382,12.163423538208008,55400,0.0,0
2008-02-14,12.163422174185106,12.864523024455503,12.163422174185106,12.547042846679688,38200,0.0,0
2008-02-15,12.368463193795025,12.46767520904541,11.912086409784186,12.46767520904541,43000,0.0,0
2008-02-18,12.335390250542526,13.717747785834355,12.282477097775095,12.712396621704102,88400,0.0,0
2008-02-19,12.83806541990632,12.96373462677002,12.23617785344459,12.96373462677002,31600,0.0,0
2008-02-20,12.957121270196634,12.970349874315307,12.765310295123237,12.798381805419922,25400,0.0,0
2008-02-21,12.930664638830892,12.930664638830892,12.712397707331801,12.791768074035645,27100,0.0,0
2008-02-22,12.890977976567262,12.890977976567262,12.500743032365131,12.804994583129883,47800,0.0,0
2008-02-25,12.86452292466755,12.86452292466755,12.566885654545532,12.831451416015625,11600,0.0,0
2008-02-26,12.857905772672845,12.864520072937012,12.599953108565492,12.864520072937012,68900,0.0,0
2008-02-27,12.811609092668801,13.347354888916016,12.513971838337573,13.347354888916016,317500,0.0,0
2008-02-28,12.963734968902674,13.228300731217205,12.963734968902674,13.195230484008789,69700,0.0,0
2008-02-29,13.195230100509457,13.195230100509457,13.00341913993795,13.188615798950195,29700,0.0,0
2008-03-03,12.904207174126638,13.056332325749045,12.831451118329385,12.96373462677002,11000,0.0,0
2008-03-04,12.963737889238194,13.215075104668356,12.765312576641314,12.771926879882812,38300,0.0,0
2008-03-05,12.897595716221636,13.215074692618334,12.897595716221636,12.930665969848633,60000,0.0,0
2008-03-06,13.228302001953125,13.228302001953125,12.798382439199486,12.897594451904297,22800,0.0,0
2008-03-07,12.904203857926404,12.904203857926404,12.566882133483887,12.566882133483887,46900,0.0,0
