Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-07-19,11.800000190734863,11.800000190734863,11.40999984741211,11.5,2191600,0,0
2021-07-20,11.40999984741211,11.800000190734863,11.199999809265137,11.800000190734863,2760600,0,0
2021-07-21,11.670000076293945,11.979999542236328,11.5600004196167,11.8100004196167,1646500,0,0
2021-07-22,11.789999961853027,11.9399995803833,11.720000267028809,11.789999961853027,1211100,0,0
2021-07-23,11.789999961853027,12.079999923706055,11.550000190734863,11.600000381469727,1677300,0,0
2021-07-26,11.65999984741211,11.899999618530273,11.100000381469727,11.399999618530273,1970900,0,0
2021-07-28,11.170000076293945,11.5600004196167,11.0,11.270000457763672,1388600,0,0
2021-07-29,11.270000457763672,11.449999809265137,11.149999618530273,11.399999618530273,891200,0,0
2021-07-30,11.199999809265137,11.399999618530273,10.770000457763672,11.300000190734863,2448600,0,0
2021-08-02,11.25,11.399999618530273,11.100000381469727,11.1899995803833,1033700,0,0
2021-08-03,11.180000305175781,11.1899995803833,10.850000381469727,11.0,1362900,0,0
2021-08-04,11.010000228881836,11.220000267028809,10.949999809265137,11.0,1402100,0,0
2021-08-05,11.029999732971191,11.199999809265137,10.920000076293945,11.0,902700,0,0
2021-08-06,11.0,11.600000381469727,10.989999771118164,11.300000190734863,982200,0,0
2021-08-09,11.390000343322754,11.979999542236328,11.390000343322754,11.970000267028809,1181100,0,0
2021-08-10,11.970000267028809,12.229999542236328,11.699999809265137,12.170000076293945,2381600,0,0
2021-08-11,11.75,12.100000381469727,11.3100004196167,11.5,1091300,0,0
2021-08-12,11.579999923706055,11.729999542236328,11.149999618530273,11.289999961853027,744300,0,0
2021-08-13,11.369999885559082,11.699999809265137,11.199999809265137,11.670000076293945,901100,0,0
2021-08-16,11.710000038146973,11.930000305175781,10.609999656677246,11.0,2092100,0,0
2021-08-17,10.989999771118164,11.119999885559082,9.90999984741211,10.4399995803833,3204800,0,0
2021-08-18,10.449999809265137,10.489999771118164,10.109999656677246,10.180000305175781,1333200,0,0
2021-08-19,9.899999618530273,10.390000343322754,9.640000343322754,10.199999809265137,2822900,0,0
2021-08-20,10.119999885559082,10.630000114440918,10.050000190734863,10.449999809265137,1311100,0,0
2021-08-23,10.5,10.65999984741211,9.899999618530273,10.149999618530273,1400100,0,0
2021-08-24,10.239999771118164,10.460000038146973,10.15999984741211,10.25,887800,0,0
2021-08-25,10.229999542236328,10.34000015258789,10.149999618530273,10.289999961853027,757900,0,0
2021-08-26,10.25,10.489999771118164,10.180000305175781,10.449999809265137,945800,0,0
2021-08-27,10.449999809265137,10.5,10.100000381469727,10.300000190734863,1639500,0,0
2021-08-30,10.34000015258789,10.34000015258789,10.149999618530273,10.149999618530273,536000,0,0
2021-08-31,10.170000076293945,10.25,9.760000228881836,9.920000076293945,892400,0,0
2021-09-01,9.949999809265137,10.210000038146973,9.920000076293945,9.949999809265137,458100,0,0
2021-09-02,9.9399995803833,10.039999961853027,9.220000267028809,9.25,2388400,0,0
2021-09-03,9.350000381469727,9.789999961853027,9.220000267028809,9.6899995803833,735000,0,0
2021-09-06,9.670000076293945,10.260000228881836,9.550000190734863,10.260000228881836,653000,0,0
2021-09-08,10.25,10.25,9.5,9.739999771118164,1161500,0,0
2021-09-09,9.760000228881836,10.0600004196167,9.550000190734863,9.899999618530273,674900,0,0
2021-09-10,10.25,10.359999656677246,9.720000267028809,9.789999961853027,654000,0,0
2021-09-13,10.0,10.079999923706055,9.84000015258789,9.949999809265137,403200,0,0
2021-09-14,9.989999771118164,10.489999771118164,9.970000267028809,10.430000305175781,979100,0,0
2021-09-15,10.40999984741211,10.40999984741211,10.0,10.390000343322754,1271900,0,0
2021-09-16,10.34000015258789,10.34000015258789,10.050000190734863,10.260000228881836,553400,0,0
2021-09-17,10.260000228881836,10.260000228881836,9.800000190734863,10.0600004196167,936900,0,0
2021-09-20,9.649999618530273,9.729999542236328,9.270000457763672,9.699999809265137,998800,0,0
2021-09-21,9.800000190734863,9.829999923706055,9.539999961853027,9.720000267028809,799400,0,0
2021-09-22,9.930000305175781,9.930000305175781,9.529999732971191,9.59000015258789,1450600,0,0
2021-09-23,9.630000114440918,9.869999885559082,9.550000190734863,9.800000190734863,796600,0,0
2021-09-24,9.699999809265137,9.949999809265137,9.619999885559082,9.6899995803833,523600,0,0
2021-09-27,9.6899995803833,10.180000305175781,9.569999694824219,10.149999618530273,935300,0,0
2021-09-28,9.960000038146973,10.09000015258789,9.720000267028809,9.920000076293945,724900,0,0
2021-09-29,9.859999656677246,10.0,9.670000076293945,9.720000267028809,845200,0,0
2021-09-30,9.710000038146973,9.800000190734863,8.960000038146973,9.5,2536900,0,0
2021-10-01,9.850000381469727,10.65999984741211,9.8100004196167,9.970000267028809,4637100,0,0
