Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2007-06-06,12585.2763671875,12828.955078125,12477.771484375,12585.2763671875,13744,0,0.0
2007-06-08,12434.76953125,13258.9755859375,12219.7587890625,13258.9755859375,3040,0,0.0
2007-06-11,13244.6416015625,13796.501953125,13043.9658203125,13688.9970703125,1908,0,0.0
2007-06-12,13244.6416015625,13796.501953125,13043.9658203125,13545.65625,1912,0,0.0
2007-06-13,13588.658203125,13724.83203125,13330.646484375,13688.9970703125,487,0,0.0
2007-06-14,13402.31640625,13681.830078125,13187.3056640625,13223.140625,235,0,0.0
2007-06-15,13187.3056640625,13258.9755859375,12621.111328125,12685.615234375,1112,0,0.0
2007-06-18,12764.4521484375,12900.625,12398.9345703125,12685.615234375,276,0,0.0
2007-06-19,12613.9443359375,12828.955078125,12363.099609375,12363.099609375,1581,0,0.0
2007-06-20,12470.6044921875,12742.951171875,12398.9345703125,12542.2744140625,1291,0,0.0
2007-06-21,12470.6044921875,12578.109375,12398.9345703125,12463.4375,593,0,0.0
2007-06-22,12434.76953125,12886.291015625,12398.9345703125,12864.7900390625,643,0,0.0
2007-06-25,12613.9443359375,13402.31640625,12613.9443359375,13258.9755859375,733,0,0.0
2007-06-26,13187.3056640625,13545.65625,13187.3056640625,13402.31640625,408,0,0.0
2007-06-27,13187.3056640625,13258.9755859375,13008.130859375,13108.46875,761,0,0.0
2007-06-28,13079.80078125,13559.990234375,13079.80078125,13402.31640625,795,0,0.0
2007-06-29,13258.9755859375,13968.5107421875,13258.9755859375,13760.6669921875,724,0,0.0
2007-07-02,13753.5,14692.37890625,13617.3271484375,14549.0380859375,2195,0,0.0
2007-07-03,14477.3681640625,15050.7294921875,14298.193359375,15043.5625,707,0,0.0
2007-07-04,15050.7294921875,15552.4208984375,14986.2265625,15194.0703125,899,0,0.0
2007-07-05,14835.71875,15194.0703125,14334.0283203125,14699.5458984375,831,0,0.0
2007-07-06,14706.712890625,15050.7294921875,14692.37890625,14979.0595703125,391,0,0.0
2007-07-10,15050.7294921875,15122.3994140625,14126.1845703125,14620.708984375,378,0,0.0
2007-07-11,14764.048828125,14764.048828125,14190.6875,14549.0380859375,532,0,0.0
2007-07-12,14799.8837890625,15050.7294921875,14549.0380859375,14964.7255859375,2056,0,0.0
2007-07-13,14979.0595703125,15588.255859375,14692.37890625,15194.0703125,1121,0,0.0
2007-07-16,15122.3994140625,15122.3994140625,14857.2197265625,14979.0595703125,339,0,0.0
2007-07-17,15014.89453125,15394.74609375,14692.37890625,15373.2451171875,999,0,0.0
2007-07-18,15409.080078125,15946.6064453125,15194.0703125,15767.4306640625,2500,0,0.0
2007-07-19,15946.6064453125,16663.30859375,15910.771484375,16484.1328125,1002,0,0.0
2007-07-20,16656.140625,16663.30859375,16054.111328125,16627.47265625,793,0,0.0
2007-07-23,16484.1328125,16985.82421875,16347.958984375,16985.82421875,513,0,0.0
2007-07-24,17021.658203125,17021.658203125,16340.7919921875,16484.1328125,693,0,0.0
2007-07-25,16942.8203125,16942.8203125,15946.6064453125,16147.2822265625,290,0,0.0
2007-07-26,15767.4306640625,15767.4306640625,14549.0380859375,15337.41015625,1195,0,0.0
2007-07-27,15760.263671875,16054.111328125,15057.896484375,15258.5732421875,141,0,0.0
2007-07-30,15767.4306640625,16018.2763671875,14764.048828125,15050.7294921875,466,0,0.0
2007-07-31,15695.7607421875,15695.7607421875,14692.37890625,14907.3896484375,180,0,0.0
2007-08-01,14685.2119140625,14907.3896484375,13617.3271484375,14334.0283203125,1084,0,0.0
2007-08-02,14541.87109375,14620.708984375,13825.169921875,13825.169921875,595,0,0.0
2007-08-03,14040.1806640625,14183.5205078125,13187.3056640625,13266.142578125,513,0,0.0
2007-08-06,13266.142578125,13975.677734375,12721.4501953125,13975.677734375,1049,0,0.0
2007-08-07,13975.677734375,13975.677734375,13473.986328125,13868.171875,685,0,0.0
2007-08-08,13760.6669921875,14477.3681640625,13760.6669921875,13896.83984375,515,0,0.0
2007-08-09,13975.677734375,13975.677734375,13653.162109375,13760.6669921875,946,0,0.0
2007-08-10,13868.171875,14334.0283203125,13079.80078125,13868.171875,309,0,0.0
2007-08-13,14692.37890625,14692.37890625,14047.34765625,14298.193359375,505,0,0.0
2007-08-14,14334.0283203125,14649.376953125,13975.677734375,14262.3583984375,67,0,0.0
2007-08-15,13975.677734375,14255.19140625,13402.31640625,13538.4892578125,124,0,0.0
2007-08-16,12721.4501953125,12900.625,10399.337890625,12183.923828125,1700,0,0.0
2007-08-17,12112.25390625,13258.9755859375,11180.5419921875,12542.2744140625,1082,0,0.0
2007-08-20,12757.28515625,13323.4794921875,12097.919921875,12097.919921875,307,0,0.0
2007-08-21,12183.923828125,12449.103515625,12040.583984375,12155.255859375,164,0,0.0
2007-08-22,12542.2744140625,12542.2744140625,12040.583984375,12470.6044921875,818,0,0.0
2007-08-23,12542.2744140625,12757.28515625,12183.923828125,12183.923828125,403,0,0.0
2007-08-24,12542.2744140625,12757.28515625,12398.9345703125,12757.28515625,261,0,0.0
2007-08-27,12757.28515625,13473.986328125,12750.1181640625,13473.986328125,776,0,0.0
2007-08-28,13008.130859375,13008.130859375,12757.28515625,12900.625,100,0,0.0
2007-08-29,13473.986328125,13473.986328125,12542.2744140625,12685.615234375,972,0,0.0
2007-08-30,12900.625,12900.625,12542.2744140625,12613.9443359375,547,0,0.0
2007-08-31,12592.443359375,13617.3271484375,12592.443359375,13187.3056640625,1915,0,0.0
2007-09-03,12900.625,13438.1513671875,12900.625,13043.9658203125,162,0,0.0
2007-09-04,12742.951171875,13258.9755859375,12685.615234375,12828.955078125,162,0,0.0
2007-09-05,13180.138671875,13180.138671875,12613.9443359375,12893.4580078125,118,0,0.0
2007-09-06,13208.806640625,13208.806640625,12821.7880859375,13022.46484375,271,0,0.0
2007-09-10,12757.28515625,12757.28515625,12398.9345703125,12542.2744140625,549,0,0.0
2007-09-11,12900.625,12972.2958984375,12112.25390625,12535.107421875,857,0,0.0
2007-09-12,12363.099609375,12542.2744140625,12183.923828125,12391.767578125,857,0,0.0
2007-09-13,12757.28515625,12757.28515625,12327.2646484375,12499.2724609375,108,0,0.0
2007-09-14,12628.2783203125,12628.2783203125,12327.2646484375,12434.76953125,91,0,0.0
2007-09-17,12742.951171875,12742.951171875,11825.5732421875,11825.5732421875,240,0,0.0
2007-09-18,12348.765625,12348.765625,11610.5625,11890.076171875,662,0,0.0
2007-09-19,12183.923828125,12542.2744140625,11753.9033203125,12470.6044921875,664,0,0.0
2007-09-20,12191.0908203125,12986.6298828125,11940.2451171875,11940.2451171875,1792,0,0.0
2007-09-21,12183.923828125,12470.6044921875,12183.923828125,12327.2646484375,548,0,0.0
2007-09-24,12606.77734375,12886.291015625,12384.6005859375,12828.955078125,432,0,0.0
2007-09-25,12542.2744140625,13258.9755859375,12470.6044921875,13108.46875,959,0,0.0
2007-09-26,13251.80859375,13968.5107421875,13187.3056640625,13904.0068359375,960,0,0.0
2007-09-27,13904.0068359375,14140.5185546875,13617.3271484375,13975.677734375,1001,0,0.0
2007-09-28,13832.3369140625,13968.5107421875,13617.3271484375,13904.0068359375,926,0,0.0
2007-10-01,13968.5107421875,14620.708984375,13968.5107421875,14599.2080078125,561,0,0.0
2007-10-02,15337.41015625,15774.59765625,14979.0595703125,15774.59765625,2407,0,0.0
2007-10-03,15767.4306640625,15774.59765625,15194.0703125,15516.5859375,2412,0,0.0
2007-10-04,15516.5859375,15767.4306640625,15057.896484375,15624.0908203125,974,0,0.0
2007-10-05,15624.0908203125,16376.626953125,15624.0908203125,16376.626953125,363,0,0.0
2007-10-08,16125.78125,16484.1328125,15982.44140625,16161.6171875,768,0,0.0
2007-10-09,16484.1328125,16806.6484375,16405.294921875,16806.6484375,768,0,0.0
2007-10-10,16799.48046875,16842.482421875,15416.2470703125,15839.1015625,629,0,0.0
2007-10-11,16269.1220703125,16269.1220703125,14692.37890625,14907.3896484375,921,0,0.0
2007-10-15,15265.740234375,15265.740234375,14269.525390625,14477.3681640625,351,0,0.0
2007-10-16,14334.0283203125,14334.0283203125,13997.1787109375,14119.017578125,351,0,0.0
2007-10-17,14434.3662109375,14692.37890625,14133.3515625,14334.0283203125,210,0,0.0
2007-10-18,14298.193359375,14799.8837890625,14140.5185546875,14549.0380859375,210,0,0.0
2007-10-19,14764.048828125,14764.048828125,13796.501953125,13939.8427734375,324,0,0.0
2007-10-22,13975.677734375,14334.0283203125,13617.3271484375,14190.6875,228,0,0.0
2007-10-23,14606.375,15050.7294921875,14269.525390625,15050.7294921875,228,0,0.0
2007-10-24,14620.708984375,14907.3896484375,14441.533203125,14513.203125,228,0,0.0
2007-10-25,14936.0576171875,14936.0576171875,13975.677734375,14119.017578125,323,0,0.0
2007-10-26,14119.017578125,14649.376953125,13832.3369140625,14649.376953125,197,0,0.0
2007-10-29,14943.224609375,14943.224609375,14549.0380859375,14656.5439453125,86,0,0.0
2007-10-30,14470.201171875,14549.0380859375,14119.017578125,14549.0380859375,86,0,0.0
2007-10-31,14334.0283203125,15050.7294921875,14262.3583984375,14979.0595703125,1346,0,0.0
2007-11-01,14907.3896484375,14979.0595703125,14620.708984375,14979.0595703125,625,0,0.0
2007-11-05,14835.71875,14979.0595703125,14549.0380859375,14835.71875,389,0,0.0
2007-11-06,14943.224609375,15337.41015625,14699.5458984375,15251.40625,389,0,0.0
2007-11-07,15050.7294921875,15337.41015625,15050.7294921875,15301.5751953125,528,0,0.0
2007-11-08,15401.9130859375,15753.0966796875,14119.017578125,15050.7294921875,842,0,0.0
2007-11-09,15050.7294921875,15409.080078125,13975.677734375,15409.080078125,698,0,0.0
2007-11-12,14979.0595703125,15194.0703125,14154.8525390625,14154.8525390625,388,0,0.0
2007-11-13,14369.86328125,14420.0322265625,13975.677734375,14398.53125,271,0,0.0
2007-11-14,14398.53125,14620.708984375,14205.021484375,14262.3583984375,159,0,0.0
2007-11-16,14541.87109375,14541.87109375,13796.501953125,14083.1826171875,262,0,0.0
