ticket,sector,subsector,segment
RRRP.SA,"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição"
CSAN.SA,"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição"
DMMO.SA,"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição"
ENAT.SA,"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição"
RPMG.SA,"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição"
PETR.SA,"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição"
RECV.SA,"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição"
PRIO.SA,"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição"
UGPA.SA,"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição"
VBBR.SA,"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição"
LUPA.SA,"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis",Equipamentos e Serviços
OPCT.SA,"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis",Equipamentos e Serviços
OSXB.SA,"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis",Equipamentos e Serviços
AURA.SA,Materiais Básicos,Mineração,Minerais Metálicos
BRAP.SA,Materiais Básicos,Mineração,Minerais Metálicos
CBAV.SA,Materiais Básicos,Mineração,Minerais Metálicos
CMIN.SA,Materiais Básicos,Mineração,Minerais Metálicos
LTEL.SA,Materiais Básicos,Mineração,Minerais Metálicos
LTLA.SA,Materiais Básicos,Mineração,Minerais Metálicos
MMXM.SA,Materiais Básicos,Mineração,Minerais Metálicos
VALE.SA,Materiais Básicos,Mineração,Minerais Metálicos
FESA.SA,Materiais Básicos,Siderurgia e Metalurgia,Siderurgia
GGBR.SA,Materiais Básicos,Siderurgia e Metalurgia,Siderurgia
GOAU.SA,Materiais Básicos,Siderurgia e Metalurgia,Siderurgia
CSNA.SA,Materiais Básicos,Siderurgia e Metalurgia,Siderurgia
USIM.SA,Materiais Básicos,Siderurgia e Metalurgia,Siderurgia
MGEL.SA,Materiais Básicos,Siderurgia e Metalurgia,Artefatos de Ferro e Aço
PATI.SA,Materiais Básicos,Siderurgia e Metalurgia,Artefatos de Ferro e Aço
TKNO.SA,Materiais Básicos,Siderurgia e Metalurgia,Artefatos de Ferro e Aço
PMAM.SA,Materiais Básicos,Siderurgia e Metalurgia,Artefatos de Cobre
DEXP.SA,Materiais Básicos,Químicos,Petroquímicos
BRKM.SA,Materiais Básicos,Químicos,Petroquímicos
FHER.SA,Materiais Básicos,Químicos,Fertilizantes e Defensivos
NUTR.SA,Materiais Básicos,Químicos,Fertilizantes e Defensivos
VITT.SA,Materiais Básicos,Químicos,Fertilizantes e Defensivos
CRPG.SA,Materiais Básicos,Químicos,Químicos Diversos
UNIP.SA,Materiais Básicos,Químicos,Químicos Diversos
EUCA.SA,Materiais Básicos,Madeira e Papel,Madeira
DXCO.SA,Materiais Básicos,Madeira e Papel,Madeira
KLBN.SA,Materiais Básicos,Madeira e Papel,Papel e Celulose
MSPA.SA,Materiais Básicos,Madeira e Papel,Papel e Celulose
NEMO.SA,Materiais Básicos,Madeira e Papel,Papel e Celulose
SUZB.SA,Materiais Básicos,Madeira e Papel,Papel e Celulose
RANI.SA,Materiais Básicos,Embalagens,Embalagens
MTIG.SA,Materiais Básicos,Embalagens,Embalagens
SNSY.SA,Materiais Básicos,Materiais Diversos,Materiais Diversos
ETER.SA,Bens Industriais,Construção e Engenharia,Produtos para Construção
HAGA.SA,Bens Industriais,Construção e Engenharia,Produtos para Construção
PTBL.SA,Bens Industriais,Construção e Engenharia,Produtos para Construção
AZEV.SA,Bens Industriais,Construção e Engenharia,Construção Pesada
SOND.SA,Bens Industriais,Construção e Engenharia,Engenharia Consultiva
TCNO.SA,Bens Industriais,Construção e Engenharia,Engenharia Consultiva
EMBR.SA,Bens Industriais,Material de Transporte,Material Aeronáutico e de Defesa
FRAS.SA,Bens Industriais,Material de Transporte,Material Rodoviário
POMO.SA,Bens Industriais,Material de Transporte,Material Rodoviário
RAPT.SA,Bens Industriais,Material de Transporte,Material Rodoviário
RCSL.SA,Bens Industriais,Material de Transporte,Material Rodoviário
RSUL.SA,Bens Industriais,Material de Transporte,Material Rodoviário
TUPY.SA,Bens Industriais,Material de Transporte,Material Rodoviário
MWET.SA,Bens Industriais,Material de Transporte,Material Rodoviário
SHUL.SA,Bens Industriais,Máquinas e Equipamentos,"Motores, Compressores e Outros"
WEGE.SA,Bens Industriais,Máquinas e Equipamentos,"Motores, Compressores e Outros"
EALT.SA,Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais
AERI.SA,Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais
ARML.SA,Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais
